GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2,GFP IU run=3,total_interactions run=3,GFP IU run=4,total_interactions run=4,GFP IU run=5,total_interactions run=5,GFP IU run=6,total_interactions run=6,GFP IU run=7,total_interactions run=7,GFP IU run=8,total_interactions run=8,GFP IU run=9,total_interactions run=9
30570,FILLER,1063,48079,1081,48197,1058,47895,1078,47730,1068,47791,1075,48373,1070,48005,1064,47627,1072,47981,1053,49048
50099,FILLER,900,65322,894,65194,907,65357,898,64753,894,65277,883,64790,892,65116,894,64966,896,64951,898,65105
50099,FILLER,909,65473,904,64959,895,64991,894,64970,902,65660,902,64843,902,64776,896,64725,888,65441,905,65239
50099,FILLER,906,65261,898,64764,890,65028,897,65514,896,65437,903,65427,900,64910,902,65042,890,64745,892,65255
66630,FILLER,854,80768,846,80707,850,80730,847,81069,835,80733,837,80664,837,80739,849,81628,847,80711,841,80776
66630,FILLER,843,80683,844,81249,851,81192,851,81215,843,80830,840,80810,840,81186,842,81252,846,81682,851,81674
66630,FILLER,856,81381,843,80998,847,81436,851,80854,858,80830,853,81204,848,80955,852,81671,844,81764,848,80790
99899,FILLER,797,114039,800,113760,803,114081,804,113902,802,113887,798,113717,802,113951,806,113837,800,113439,802,113897
99899,FILLER,799,114132,800,113669,801,113891,809,114166,816,113677,808,114550,802,114320,812,113700,798,113342,803,114273
99899,FILLER,804,114114,799,114057,797,113968,805,113906,805,113504,812,114797,800,113547,803,113971,802,113460,804,114019
133179,FILLER,784,147761,786,147463,777,147106,788,147454,792,147994,787,147518,784,147702,789,147343,788,147120,784,147518
133179,FILLER,784,147730,783,148083,794,147196,778,147556,783,147187,783,147187,789,147920,781,147847,788,147827,789,147182
133179,FILLER,785,147050,783,147834,782,148351,790,147339,785,147536,783,148396,786,147188,780,147079,788,147074,783,147590
150000,FILLER,776,164724,776,164262,778,164832,779,164567,778,164020,777,164610,778,164600,787,164826,779,164909,779,164550
150000,FILLER,783,164811,776,164546,781,163991,777,164528,777,164867,780,164672,779,164203,783,164961,782,164724,786,164058
150000,FILLER,775,164692,778,163940,776,164379,782,164294,784,165137,778,164749,775,164018,788,164370,775,164480,783,164752
