GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2,GFP IU run=3,total_interactions run=3,GFP IU run=4,total_interactions run=4,GFP IU run=5,total_interactions run=5,GFP IU run=6,total_interactions run=6,GFP IU run=7,total_interactions run=7,GFP IU run=8,total_interactions run=8,GFP IU run=9,total_interactions run=9
1636,simul_name=clump_comp,105,20783,80,14023,104,15509,92,14950,120,20884,98,21613,97,19314,125,23857,65,12541,137,24391
1636,num_simulations=10,97,16957,107,18988,81,16105,121,22146,105,16265,119,22219,123,21716,116,16841,118,19854,173,30179
1636,sheet=8,129,25090,105,17510,105,19667,133,21359,130,20090,100,19371,93,16082,84,14299,147,27944,106,19178
5834,scale=10,96,15953,115,19666,80,17686,111,16270,82,16448,109,16430,102,17031,98,17475,105,17144,82,16911
5834,cell_count=17000,89,17270,100,17397,93,17633,79,16718,108,18071,83,17397,85,15882,81,17733,93,17158,91,16743
5834,muG=0,87,16491,100,17728,100,16808,104,17814,91,16882,110,18177,111,15933,105,16712,107,16072,103,17515
15010,sigmaG=1,878,168675,878,152680,792,148001,869,154546,850,160270,866,154269,838,165630,817,161712,853,168625,825,165203
15010,muR=12,834,153327,906,169836,970,173459,865,158085,861,156332,830,159822,810,160486,901,162840,912,160099,943,174489
15010,sigmaR=1,985,183996,785,150548,850,167392,835,159030,839,150577,798,152807,808,151503,884,160319,854,159385,892,173097
38342,gamma=0.45,2799,567077,2854,601841,2692,541922,2948,613620,2785,561238,2862,584482,2892,597901,2861,583566,2829,574273,2656,532475
38342,vMax=10000.0,2921,591119,2752,571222,2939,597402,2774,582385,2841,603771,2842,559467,2802,581018,2899,582227,2859,574331,2879,596294
38342,remove=1,2929,605995,2913,606432,2806,581603,2759,573676,2788,572913,2678,549646,2745,553990,2806,567751,2658,539977,2740,555187
97262,scheme=sphere_packing,2449,465334,2295,442515,2303,443031,2445,461389,2286,447276,2341,457104,2449,449137,2326,444743,2305,434370,2339,453261
97262,distribution=fixed,2275,450829,2368,444433,2302,448058,2373,455686,2322,451425,2325,445254,2436,451482,2233,437459,2365,454039,2332,446013
97262,ub=300,2300,434242,2321,435097,2382,456452,2393,448772,2388,448136,2371,453933,2334,446323,2413,438532,2405,466965,2386,450467
245031,lb=150,3656,773379,3654,763584,3697,765448,3658,767629,3764,767243,3838,768580,3693,763139,3675,767131,3703,766890,3693,766071
245031,mean=230,3783,763502,3666,765395,3682,758245,3709,764460,3842,765291,3713,769765,3686,759663,3653,761427,3730,765974,3782,765586
245031,kappa=0.2,3713,760583,3722,763917,3664,760860,3749,762657,3797,770111,3786,768468,3711,764591,3878,767770,3651,767228,3627,774346
613131,FILLER,10744,3238094,10798,3226322,10692,3243321,10743,3241467,10731,3225437,10759,3192979,10769,3209284,10660,3197246,10555,3213687,10696,3222082
613131,FILLER,10673,3234055,10649,3237427,10610,3222023,10798,3252239,10759,3210735,10641,3203215,10636,3229982,10664,3251815,10686,3205189,10743,3255768
613131,FILLER,10667,3237746,10710,3226326,10725,3236765,10652,3223752,10681,3207654,10714,3226598,10709,3222459,10708,3224615,10693,3231250,10801,3213316
1524000,FILLER,15617,9289258,15578,9271056,15563,9229866,15520,9232753,15581,9243968,15585,9261987,15511,9235421,15613,9254326,15587,9275114,15493,9297789
1524000,FILLER,15564,9284231,15466,9252915,15540,9202868,15532,9239685,15528,9252722,15611,9283310,15589,9293209,15589,9269530,15531,9289953,15527,9261531
1524000,FILLER,15532,9263609,15476,9236668,15626,9326538,15601,9252297,15525,9271192,15537,9335590,15558,9244692,15552,9270915,15614,9260443,15540,9232683
