GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2
327,simul_name=comp,4,1328,4,1441,6,1374
327,num_simulations=3,9,1430,12,1407,12,1342
327,sheet=7,6,1339,6,1369,8,1438
450,scale=50,8,1928,14,1891,21,1908
450,cell_count=3400,6,1866,7,1826,19,2005
450,muG=0,14,1973,8,1905,12,1967
619,sigmaG=1,21,2625,17,2597,23,2538
619,muR=12,9,2615,21,2650,16,2581
619,sigmaR=1,20,2594,15,2613,17,2715
850,gamma=0.45,23,3538,23,3580,31,3605
850,vMax=800.0,27,3575,16,3540,27,3630
850,remove=1,33,3592,18,3540,21,3589
1166,kappa=0.2,43,4935,37,5003,36,4920
1166,FILLER,36,4929,32,4966,34,4901
1166,FILLER,32,4996,35,5025,39,5157
1600,FILLER,50,6752,60,6862,42,6706
1600,FILLER,62,6880,65,6743,62,6802
1600,FILLER,59,6895,66,6795,57,6659
2192,FILLER,95,9145,90,9296,102,9188
2192,FILLER,98,9320,94,9262,94,9364
2192,FILLER,112,9371,94,9216,90,9344
3002,FILLER,155,12985,144,12688,128,12685
3002,FILLER,110,12655,128,12728,147,12970
3002,FILLER,141,12874,125,12890,144,12669
4106,FILLER,194,17351,194,17184,172,17459
4106,FILLER,206,17464,203,17491,177,17572
4106,FILLER,275,17477,206,17584,190,17592
5614,FILLER,278,23933,356,23571,273,23914
5614,FILLER,303,23880,251,23736,294,23638
5614,FILLER,301,23846,243,23636,295,23901
7668,FILLER,406,32405,400,32600,460,32713
7668,FILLER,406,32902,393,32493,408,32715
7668,FILLER,426,32422,415,32634,500,32710
10466,FILLER,698,44928,580,44503,589,44465
10466,FILLER,593,44647,602,44286,785,44822
10466,FILLER,574,44622,634,44646,626,44240
14274,FILLER,848,60690,893,60756,849,60794
14274,FILLER,908,60623,919,60227,910,60317
14274,FILLER,849,60348,856,60870,752,60516
19452,FILLER,1051,82531,1095,82529,1151,82882
19452,FILLER,1444,82430,1203,82766,1102,82914
19452,FILLER,1161,82460,1150,82520,1327,83059
26488,FILLER,1540,112892,1469,113005,1598,111777
26488,FILLER,1485,112181,1505,112774,1641,112495
26488,FILLER,1557,112811,1583,112460,1467,112390
36043,FILLER,2041,152238,1861,153527,1988,153409
36043,FILLER,2017,153488,2069,153533,2084,153459
36043,FILLER,1993,153774,2009,153216,1940,153385
49006,FILLER,2292,208784,2421,208866,2246,208182
49006,FILLER,2369,207920,2340,208662,2573,208217
49006,FILLER,2340,208406,2235,207751,2330,207548
66581,FILLER,2792,281841,2779,282884,2745,282693
66581,FILLER,2685,282695,2716,283187,2798,282491
66581,FILLER,2769,283516,2735,282673,2789,282952
90392,FILLER,2999,384414,2965,384692,2975,383834
90392,FILLER,3015,384745,3017,383812,3090,384682
90392,FILLER,3039,384303,3098,383064,2942,383913
122626,FILLER,3207,521581,3271,521831,3186,521213
122626,FILLER,3280,521517,3223,521172,3240,519764
122626,FILLER,3235,521546,3198,522293,3228,522030
166231,FILLER,3342,708989,3287,706217,3327,705590
166231,FILLER,3316,704441,3348,706386,3282,706317
166231,FILLER,3302,707269,3346,705570,3319,705325
225177,FILLER,3380,956380,3367,956337,3378,956819
225177,FILLER,3380,957774,3390,956316,3374,955842
225177,FILLER,3376,958461,3382,957032,3377,957566
304800,FILLER,3396,1296075,3395,1294055,3392,1294692
304800,FILLER,3396,1296977,3397,1295807,3397,1297400
304800,FILLER,3391,1295629,3391,1293603,3394,1296739
