GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2
327,simul_name=comp,5,1105,6,1147,10,1128
327,num_simulations=3,5,1107,8,1083,8,1121
327,sheet=7,11,1122,12,1100,7,1150
450,scale=50,8,1580,7,1547,11,1587
450,cell_count=3400,8,1518,12,1538,11,1571
450,muG=0,6,1579,7,1497,12,1489
619,sigmaG=1,4,2055,19,2071,15,2150
619,muR=12,19,2108,4,2072,10,2069
619,sigmaR=1,12,2047,17,2159,10,2137
850,gamma=0.45,17,2928,21,2941,26,2913
850,vMax=1000.0,19,2812,28,2926,22,2798
850,remove=1,26,2857,16,3003,19,2838
1166,kappa=0.1,28,3998,33,3963,31,4056
1166,FILLER,35,3933,33,4039,34,4023
1166,FILLER,32,3973,30,3980,46,3970
1600,FILLER,46,5379,34,5337,54,5491
1600,FILLER,48,5261,64,5441,45,5253
1600,FILLER,57,5459,60,5484,39,5424
2192,FILLER,71,7486,69,7420,69,7534
2192,FILLER,73,7547,69,7345,95,7505
2192,FILLER,67,7321,91,7652,79,7488
3002,FILLER,117,10444,110,10264,138,10353
3002,FILLER,114,10246,111,10200,91,10277
3002,FILLER,111,9993,114,10210,91,10336
4106,FILLER,207,14028,183,14148,192,14037
4106,FILLER,183,13808,157,13600,186,14217
4106,FILLER,186,14151,195,14142,186,13926
5614,FILLER,225,18708,230,19211,259,19195
5614,FILLER,244,19214,264,19179,303,19307
5614,FILLER,282,18947,261,19080,257,19088
7668,FILLER,407,26269,372,26202,456,25947
7668,FILLER,462,26001,420,26239,439,25922
7668,FILLER,540,26250,481,26234,388,26088
10466,FILLER,595,35454,515,35734,524,35716
10466,FILLER,587,35648,579,35745,589,35458
10466,FILLER,686,35644,563,35849,586,35656
14274,FILLER,753,48540,824,48539,795,48776
14274,FILLER,789,48662,781,48564,829,48181
14274,FILLER,882,48373,938,48466,781,48313
19452,FILLER,1047,66378,974,66084,1192,66410
19452,FILLER,1210,66409,1013,66006,1088,66475
19452,FILLER,996,65973,1483,66102,1004,66634
26488,FILLER,1436,90365,1443,89741,1565,89755
26488,FILLER,1520,90228,1368,90080,1587,89847
26488,FILLER,1554,90430,1602,89775,1592,89975
36043,FILLER,1751,121821,1791,123063,2147,122326
36043,FILLER,1824,122376,1924,122444,1754,122669
36043,FILLER,1967,122613,1802,122840,1879,122774
49006,FILLER,2189,166155,2148,166654,2250,166272
49006,FILLER,2515,166564,2405,167131,2308,167102
49006,FILLER,2166,167004,2147,166211,2521,166774
66581,FILLER,2598,226465,2835,226467,2534,226316
66581,FILLER,2594,226695,2562,225818,2603,225621
66581,FILLER,2777,225805,2796,226401,2537,226584
90392,FILLER,2984,306880,2950,306943,2941,306927
90392,FILLER,2861,306895,3021,307237,2950,307632
90392,FILLER,2935,307231,2929,307520,2824,307654
122626,FILLER,3161,415993,3185,416075,3110,416291
122626,FILLER,3187,416132,3184,417473,3181,417419
122626,FILLER,3266,417273,3220,417043,3216,415948
166231,FILLER,3312,565486,3312,565635,3305,565946
166231,FILLER,3290,564791,3345,565583,3333,565224
166231,FILLER,3296,565040,3294,565145,3313,565762
225177,FILLER,3370,765178,3365,764548,3371,765466
225177,FILLER,3378,764122,3370,765906,3363,767096
225177,FILLER,3377,763723,3358,765882,3363,766064
304800,FILLER,3383,1036648,3383,1037241,3385,1036089
304800,FILLER,3390,1036479,3381,1036568,3389,1037641
304800,FILLER,3396,1038232,3384,1036716,3396,1037085
