GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2
327,simul_name=comp,5,1069,5,1114,10,1115
327,num_simulations=3,9,1119,17,1109,5,1119
327,sheet=7,15,1147,7,1095,5,1204
450,scale=50,14,1483,11,1558,10,1440
450,cell_count=3400,13,1561,8,1531,9,1538
450,muG=0,9,1477,9,1522,11,1508
619,sigmaG=1,8,2109,16,2131,18,2104
619,muR=12,18,2066,10,2015,17,2132
619,sigmaR=1,17,2057,19,2065,16,2065
850,gamma=0.45,31,2889,31,2831,33,2866
850,vMax=1000.0,27,2888,35,2875,20,2955
850,remove=1,34,2914,37,2894,26,2950
1166,kappa=0.0,39,4047,37,3998,43,3965
1166,FILLER,28,3917,46,4043,26,3934
1166,FILLER,41,4011,47,4039,33,3910
1600,FILLER,72,5621,66,5396,57,5451
1600,FILLER,58,5306,60,5468,73,5367
1600,FILLER,76,5474,71,5496,72,5456
2192,FILLER,103,7283,112,7529,95,7516
2192,FILLER,93,7336,113,7464,92,7522
2192,FILLER,92,7392,108,7426,90,7423
3002,FILLER,178,10298,146,10324,180,10228
3002,FILLER,177,10127,165,10162,165,10151
3002,FILLER,166,10167,202,10001,184,10403
4106,FILLER,245,14014,213,13840,255,13923
4106,FILLER,224,14052,235,14066,271,14086
4106,FILLER,225,14079,290,13851,246,13991
5614,FILLER,380,19114,367,19254,388,19164
5614,FILLER,475,19261,401,19038,372,19095
5614,FILLER,381,18936,373,19277,441,18971
7668,FILLER,508,25915,467,26116,555,26290
7668,FILLER,532,25776,622,26102,601,25767
7668,FILLER,597,26484,520,25895,613,26278
10466,FILLER,823,35611,784,35221,679,35784
10466,FILLER,668,35568,803,35661,794,35675
10466,FILLER,796,35664,775,35295,673,35450
14274,FILLER,984,48489,1019,48993,1022,48602
14274,FILLER,950,48460,1064,48599,1017,48695
14274,FILLER,1017,48396,1156,48557,1023,48626
19452,FILLER,1359,66654,1280,66383,1251,66479
19452,FILLER,1313,66193,1246,65783,1409,66523
19452,FILLER,1304,65940,1240,65979,1463,66240
26488,FILLER,1807,89452,1785,89759,1752,89518
26488,FILLER,1597,90142,1901,90383,1657,89860
26488,FILLER,1779,90463,1687,89440,1737,90134
36043,FILLER,2194,123079,2119,121935,2163,122766
36043,FILLER,2342,122606,2213,122971,2005,122629
36043,FILLER,1991,122816,2169,122135,2169,122710
49006,FILLER,2511,166027,2577,166723,2498,165894
49006,FILLER,2780,166251,2382,166105,2661,166892
49006,FILLER,2722,166157,2415,166902,2412,166542
66581,FILLER,2864,226453,2777,226817,2902,225499
66581,FILLER,2986,226593,2763,226286,2805,226606
66581,FILLER,2806,226189,2725,226473,2873,226185
90392,FILLER,3011,306598,3039,307730,3121,307596
90392,FILLER,3018,306478,3153,306397,3051,307263
90392,FILLER,3018,307987,3050,307497,3118,307238
122626,FILLER,3274,417604,3267,418612,3281,416569
122626,FILLER,3184,417779,3208,416935,3233,416909
122626,FILLER,3233,416656,3276,416940,3232,416870
166231,FILLER,3358,566297,3325,565971,3329,565197
166231,FILLER,3346,565337,3356,566788,3337,565568
166231,FILLER,3328,564560,3368,565284,3356,564646
225177,FILLER,3384,765343,3380,763484,3362,766618
225177,FILLER,3380,765756,3371,766929,3383,764658
225177,FILLER,3367,766075,3378,766350,3394,765827
304800,FILLER,3393,1035919,3391,1036076,3397,1036191
304800,FILLER,3391,1036690,3395,1036367,3392,1035387
304800,FILLER,3394,1036797,3392,1036370,3397,1036664
