GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2
327,simul_name=comp,96,5573,77,5503,122,5551
327,num_simulations=3,104,5542,104,5611,84,5508
327,sheet=7,94,5558,100,5463,75,5408
450,scale=50,138,7725,128,7706,129,7683
450,cell_count=3400,108,7522,158,7620,128,7513
450,muG=0,95,7536,160,7584,149,7653
619,sigmaG=1,200,10704,170,10737,217,10502
619,muR=12,184,10590,165,10519,231,10440
619,sigmaR=1,335,10714,156,10491,181,10393
850,gamma=0.45,255,14471,227,14442,226,14386
850,vMax=200.0,275,14571,250,14643,244,14632
850,remove=1,213,14475,393,14531,261,14418
1166,kappa=0.0,377,20126,349,20053,365,19974
1166,FILLER,326,19928,391,19726,410,19659
1166,FILLER,353,19679,396,19783,486,20010
1600,FILLER,558,27021,534,27267,595,26923
1600,FILLER,630,27166,540,27028,615,27569
1600,FILLER,584,27323,585,27100,600,27171
2192,FILLER,828,37193,707,37426,658,37407
2192,FILLER,648,37127,601,37105,819,37367
2192,FILLER,671,37431,632,37360,1188,37620
3002,FILLER,1031,50854,1075,50647,948,51022
3002,FILLER,973,51525,1007,50940,943,50876
3002,FILLER,993,51383,1076,50824,1245,50928
4106,FILLER,1399,69594,1496,69855,1652,69968
4106,FILLER,1330,69643,1407,69683,1402,69904
4106,FILLER,1194,69678,1347,69692,1322,69677
5614,FILLER,1753,95664,1685,95576,1631,95402
5614,FILLER,1619,95388,1529,96116,1807,95216
5614,FILLER,1648,95694,1984,95947,2016,94937
7668,FILLER,2079,130163,2019,129855,2303,130603
7668,FILLER,2220,130152,2054,130120,2502,129964
7668,FILLER,2192,129915,2114,130574,2144,130812
10466,FILLER,2528,177895,2386,177436,2359,178150
10466,FILLER,2693,178512,2555,177429,2405,177801
10466,FILLER,2656,178115,2377,177441,2441,177488
14274,FILLER,2763,242104,2783,242149,2824,242811
14274,FILLER,2711,241928,2708,241730,2854,242044
14274,FILLER,2687,242989,2778,242405,2623,242662
19452,FILLER,3012,330297,3092,330354,3110,330055
19452,FILLER,2958,330582,3088,329955,3068,331205
19452,FILLER,3067,331173,3110,330908,2930,331297
26488,FILLER,3198,448690,3243,451353,3168,450455
26488,FILLER,3184,451008,3305,448969,3250,449956
26488,FILLER,3239,451047,3197,449846,3280,450785
36043,FILLER,3370,612964,3355,612528,3351,612728
36043,FILLER,3364,612688,3331,612628,3367,613727
36043,FILLER,3347,613737,3327,613681,3348,613675
49006,FILLER,3377,832315,3382,832031,3386,832488
49006,FILLER,3376,831640,3370,831738,3385,833552
49006,FILLER,3374,833304,3382,832020,3384,831420
66581,FILLER,3396,1131987,3396,1132322,3395,1131910
66581,FILLER,3385,1131863,3397,1130381,3396,1131610
66581,FILLER,3398,1133563,3392,1131748,3395,1132964
90392,FILLER,3400,1535885,3398,1535834,3398,1535838
90392,FILLER,3400,1537372,3399,1536162,3400,1537548
90392,FILLER,3400,1537944,3398,1537302,3399,1537171
122626,FILLER,3400,2083517,3400,2086918,3400,2085571
122626,FILLER,3400,2086666,3400,2083765,3400,2083127
122626,FILLER,3400,2083263,3400,2081637,3400,2084166
166231,FILLER,3400,2825436,3400,2825577,3400,2825132
166231,FILLER,3400,2825253,3400,2828533,3400,2828299
166231,FILLER,3400,2824122,3400,2823867,3400,2828169
225177,FILLER,3400,3827446,3400,3828033,3400,3829509
225177,FILLER,3400,3828535,3400,3828705,3400,3822076
225177,FILLER,3400,3827071,3400,3832025,3400,3828923
304800,FILLER,3400,5179967,3400,5186061,3400,5182293
304800,FILLER,3400,5183732,3400,5185085,3400,5184580
304800,FILLER,3400,5177846,3400,5182252,3400,5179444
