GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2,GFP IU run=3,total_interactions run=3,GFP IU run=4,total_interactions run=4,GFP IU run=5,total_interactions run=5,GFP IU run=6,total_interactions run=6,GFP IU run=7,total_interactions run=7,GFP IU run=8,total_interactions run=8,GFP IU run=9,total_interactions run=9
1636,simul_name=clump_acc_dam,221,6249,201,5748,209,5863,227,6273,208,6027,230,6182,227,6201,223,5504,269,6321,223,5707
1636,num_simulations=10,202,6020,247,6088,209,5846,199,5980,220,5848,197,5849,211,5986,216,5971,199,5791,218,6040
1636,sheet=8,264,6266,201,6072,231,5875,211,6014,206,6002,231,6095,188,5521,203,5786,236,6657,202,6014
5834,scale=10,269,12176,338,13256,332,13167,385,13923,369,13352,355,13235,372,13420,321,13201,356,13354,357,13144
5834,cell_count=17000,369,13515,355,13344,371,13294,334,13310,358,13653,381,13555,399,13648,372,13085,314,13153,335,13370
5834,muG=0,302,12884,335,13014,367,13294,297,12817,351,13037,302,12891,327,13216,375,13471,377,13499,299,12862
15010,sigmaG=1,2170,42834,1991,42243,2140,42744,2124,42801,2164,42991,2152,42417,2159,43037,2154,42915,2226,43461,2127,42581
15010,muR=12,2032,42404,2141,42572,2087,41890,2176,42970,2058,42286,2115,42870,2142,42723,2148,42591,2075,42081,2062,43028
15010,sigmaR=1,2108,42734,2060,42647,2071,42001,2083,42249,2131,42712,2100,42045,2101,42743,2081,42451,2078,42127,2107,42506
38342,gamma=0.45,5988,97049,6023,96068,6013,96918,5911,95752,5987,96753,5885,95910,5988,96328,5940,96390,6059,96523,6039,96937
38342,vMax=10000.0,5915,96417,5922,96498,5985,96361,5928,96176,6009,96852,5962,96238,5844,96648,6041,96528,5972,96549,5969,97051
38342,remove=1,5962,96649,5951,96490,5990,96084,5978,96571,5934,96364,5946,96417,6037,96156,5928,96379,5961,96817,6097,96704
97262,scheme=sphere_packing,15515,195230,15535,195477,15466,195639,15404,195224,15482,195671,15501,195180,15527,195402,15369,194982,15463,195029,15386,194973
97262,distribution=fixed,15441,194939,15490,195073,15474,194882,15421,195612,15532,196279,15347,195075,15541,194806,15509,195747,15358,195301,15476,195633
97262,ub=300,15578,195486,15565,194979,15639,195910,15399,194993,15399,194642,15414,194923,15544,195650,15391,195428,15434,195257,15451,194863
245031,lb=150,17000,457522,17000,459389,17000,459973,17000,458444,17000,458080,17000,459014,17000,460398,17000,458753,17000,458797,17000,459643
245031,mean=230,17000,458454,17000,459032,17000,458781,16999,458326,17000,459643,17000,458049,16999,459000,17000,459115,17000,457995,17000,460247
245031,beta=-2.0,17000,458107,17000,460626,17000,460279,17000,458622,16999,459756,17000,459318,17000,458339,17000,459498,17000,458859,17000,458097
613131,FILLER,17000,1235373,17000,1235066,17000,1237284,17000,1236153,17000,1236426,17000,1235028,17000,1234640,17000,1236526,17000,1234991,17000,1237086
613131,FILLER,17000,1240370,17000,1233401,17000,1236730,17000,1235917,17000,1236997,17000,1234430,17000,1235906,17000,1238628,17000,1237067,17000,1235428
613131,FILLER,17000,1237696,17000,1235999,17000,1235490,17000,1237029,17000,1236905,17000,1238347,17000,1235938,17000,1237739,17000,1237720,17000,1236478
1524000,FILLER,17000,3142735,17000,3134676,17000,3132980,17000,3136100,17000,3138025,17000,3132452,17000,3136003,17000,3135730,17000,3137255,17000,3133789
1524000,FILLER,17000,3136783,17000,3133484,17000,3138358,17000,3134887,17000,3136147,17000,3137291,17000,3140257,17000,3138010,17000,3137942,17000,3141105
1524000,FILLER,17000,3136847,17000,3138882,17000,3139066,17000,3136050,17000,3137938,17000,3136363,17000,3134725,17000,3135638,17000,3133453,17000,3129929
