GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2,GFP IU run=3,total_interactions run=3,GFP IU run=4,total_interactions run=4,GFP IU run=5,total_interactions run=5,GFP IU run=6,total_interactions run=6,GFP IU run=7,total_interactions run=7,GFP IU run=8,total_interactions run=8,GFP IU run=9,total_interactions run=9
180215,FILLER,11122,246322,11077,246228,11037,245723,11084,246154,11108,246315,11139,246681,11096,246180,11064,246086,11105,246404,11003,245984
180215,FILLER,11118,246226,11135,246588,11209,246683,11120,246279,11055,246035,11241,246651,11127,246333,11080,246225,11112,246294,11035,245974
180215,FILLER,11126,246305,11154,246364,11126,246805,11143,246344,11112,246405,11115,246725,11161,246761,11129,246419,11121,246912,11192,246569
245031,FILLER,10380,307754,10378,307591,10360,307896,10364,307660,10397,308298,10307,307512,10347,307650,10308,307313,10399,307736,10289,307487
245031,FILLER,10394,308043,10346,307811,10345,307698,10340,307904,10354,307711,10353,307544,10361,307816,10431,308065,10334,307808,10339,307375
245031,FILLER,10431,308029,10344,307421,10413,308037,10397,307876,10397,308009,10337,307638,10419,307871,10370,307686,10409,307828,10388,307879
332907,FILLER,9740,392820,9758,392909,9689,392517,9676,392341,9802,392845,9715,392514,9723,392590,9738,392886,9734,392770,9750,392851
332907,FILLER,9709,392627,9675,392589,9714,392732,9770,392723,9707,392655,9756,392920,9782,392772,9769,392624,9684,392484,9719,392932
332907,FILLER,9718,392656,9697,392375,9729,392698,9692,392580,9738,392670,9731,392793,9748,392746,9709,392614,9705,392812,9739,393083
451960,FILLER,9126,509267,9080,508997,9121,509153,9111,509013,9115,509537,9134,509114,9085,508945,9110,509249,9114,509285,9063,508943
451960,FILLER,9103,509325,9069,508912,9089,508985,9145,509344,9115,509198,9135,509057,9100,508989,9063,508881,9087,509011,9090,508888
451960,FILLER,9113,509297,9123,509093,9092,509006,9112,509020,9124,509316,9132,509228,9118,508901,9107,509044,9125,508976,9185,509014
613131,FILLER,8648,668003,8708,668360,8651,668226,8676,668149,8663,667878,8664,668365,8651,668198,8691,668383,8645,668342,8649,667998
613131,FILLER,8701,668635,8642,668074,8667,668135,8619,668091,8690,667954,8699,668243,8656,668495,8673,668495,8643,668321,8678,668447
613131,FILLER,8631,667912,8667,668357,8625,668172,8654,668015,8658,668145,8726,668219,8625,667995,8661,668438,8654,668339,8660,668300
831159,FILLER,8009,883411,8006,883406,8015,883692,8042,883770,8019,883443,8079,883593,8035,883581,8044,883381,8041,883590,8046,883336
831159,FILLER,8031,883553,8025,883842,8018,883424,8033,883307,8061,883690,8038,883328,8031,883591,8053,883559,8032,883374,8043,883503
831159,FILLER,8034,883666,8038,883619,8030,883669,8029,883696,8062,883610,8028,883334,8010,883415,8022,883451,8033,883668,8034,883472
1125885,FILLER,7376,1175151,7355,1175148,7370,1175322,7333,1175310,7352,1175709,7386,1175724,7364,1175215,7347,1175222,7391,1175429,7359,1175524
1125885,FILLER,7363,1175285,7344,1175338,7406,1175459,7394,1175328,7388,1175433,7348,1175565,7407,1175323,7409,1175334,7365,1175571,7442,1175383
1125885,FILLER,7387,1175780,7360,1175322,7350,1175426,7350,1175160,7331,1175168,7357,1175254,7404,1175524,7391,1175448,7345,1175462,7344,1175140
1524000,FILLER,6668,1570637,6690,1570871,6652,1570442,6634,1570689,6653,1570213,6722,1570473,6658,1570355,6679,1570611,6681,1570403,6633,1570643
1524000,FILLER,6630,1570513,6637,1570339,6642,1570505,6684,1570760,6655,1570366,6652,1570490,6618,1570200,6640,1570578,6655,1570376,6656,1570388
1524000,FILLER,6647,1570385,6651,1570531,6632,1570460,6634,1570371,6646,1570312,6661,1570645,6659,1570391,6671,1570570,6620,1570317,6687,1570670
