GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2,GFP IU run=3,total_interactions run=3,GFP IU run=4,total_interactions run=4,GFP IU run=5,total_interactions run=5,GFP IU run=6,total_interactions run=6,GFP IU run=7,total_interactions run=7,GFP IU run=8,total_interactions run=8,GFP IU run=9,total_interactions run=9,GFP IU run=10,total_interactions run=10,GFP IU run=11,total_interactions run=11,GFP IU run=12,total_interactions run=12,GFP IU run=13,total_interactions run=13,GFP IU run=14,total_interactions run=14,GFP IU run=15,total_interactions run=15,GFP IU run=16,total_interactions run=16,GFP IU run=17,total_interactions run=17,GFP IU run=18,total_interactions run=18,GFP IU run=19,total_interactions run=19,GFP IU run=20,total_interactions run=20,GFP IU run=21,total_interactions run=21,GFP IU run=22,total_interactions run=22,GFP IU run=23,total_interactions run=23,GFP IU run=24,total_interactions run=24,GFP IU run=25,total_interactions run=25,GFP IU run=26,total_interactions run=26,GFP IU run=27,total_interactions run=27,GFP IU run=28,total_interactions run=28,GFP IU run=29,total_interactions run=29,GFP IU run=30,total_interactions run=30,GFP IU run=31,total_interactions run=31,GFP IU run=32,total_interactions run=32,GFP IU run=33,total_interactions run=33,GFP IU run=34,total_interactions run=34,GFP IU run=35,total_interactions run=35,GFP IU run=36,total_interactions run=36,GFP IU run=37,total_interactions run=37,GFP IU run=38,total_interactions run=38,GFP IU run=39,total_interactions run=39,GFP IU run=40,total_interactions run=40,GFP IU run=41,total_interactions run=41,GFP IU run=42,total_interactions run=42,GFP IU run=43,total_interactions run=43,GFP IU run=44,total_interactions run=44,GFP IU run=45,total_interactions run=45,GFP IU run=46,total_interactions run=46,GFP IU run=47,total_interactions run=47,GFP IU run=48,total_interactions run=48,GFP IU run=49,total_interactions run=49,GFP IU run=50,total_interactions run=50,GFP IU run=51,total_interactions run=51,GFP IU run=52,total_interactions run=52,GFP IU run=53,total_interactions run=53,GFP IU run=54,total_interactions run=54,GFP IU run=55,total_interactions run=55,GFP IU run=56,total_interactions run=56,GFP IU run=57,total_interactions run=57,GFP IU run=58,total_interactions run=58,GFP IU run=59,total_interactions run=59,GFP IU run=60,total_interactions run=60,GFP IU run=61,total_interactions run=61,GFP IU run=62,total_interactions run=62,GFP IU run=63,total_interactions run=63,GFP IU run=64,total_interactions run=64,GFP IU run=65,total_interactions run=65,GFP IU run=66,total_interactions run=66,GFP IU run=67,total_interactions run=67,GFP IU run=68,total_interactions run=68,GFP IU run=69,total_interactions run=69,GFP IU run=70,total_interactions run=70,GFP IU run=71,total_interactions run=71,GFP IU run=72,total_interactions run=72,GFP IU run=73,total_interactions run=73,GFP IU run=74,total_interactions run=74,GFP IU run=75,total_interactions run=75,GFP IU run=76,total_interactions run=76,GFP IU run=77,total_interactions run=77,GFP IU run=78,total_interactions run=78,GFP IU run=79,total_interactions run=79,GFP IU run=80,total_interactions run=80,GFP IU run=81,total_interactions run=81,GFP IU run=82,total_interactions run=82,GFP IU run=83,total_interactions run=83,GFP IU run=84,total_interactions run=84,GFP IU run=85,total_interactions run=85,GFP IU run=86,total_interactions run=86,GFP IU run=87,total_interactions run=87,GFP IU run=88,total_interactions run=88,GFP IU run=89,total_interactions run=89,GFP IU run=90,total_interactions run=90,GFP IU run=91,total_interactions run=91,GFP IU run=92,total_interactions run=92,GFP IU run=93,total_interactions run=93,GFP IU run=94,total_interactions run=94,GFP IU run=95,total_interactions run=95,GFP IU run=96,total_interactions run=96,GFP IU run=97,total_interactions run=97,GFP IU run=98,total_interactions run=98,GFP IU run=99,total_interactions run=99
10.0,simul_name=clump,0,13,0,10,0,4,0,12,0,13,0,10,0,9,0,7,0,11,0,11,0,12,0,7,0,10,0,12,0,14,0,10,0,5,0,10,0,6,1,11,0,8,0,10,0,14,0,6,0,5,1,9,0,14,0,17,0,10,0,9,0,6,0,9,0,6,0,10,0,9,0,9,0,13,0,8,0,12,0,16,0,11,0,14,0,10,0,8,0,10,0,17,0,7,0,6,0,11,0,10,0,11,0,10,0,8,0,17,0,8,0,8,0,11,0,14,0,5,0,14,0,9,0,7,0,10,0,5,0,12,0,14,0,12,0,11,0,11,0,6,0,11,0,9,0,8,1,8,0,13,0,10,0,13,0,10,0,9,0,2,0,7,0,13,0,9,0,17,0,13,0,13,0,9,0,11,1,12,0,4,0,8,0,9,0,7,0,10,0,10,0,11,0,11,0,9,0,17,0,18
20.0,num_simulations=100,0,19,0,20,0,18,0,18,0,16,0,25,0,21,0,20,0,22,0,19,0,23,0,24,0,21,0,12,0,27,0,13,1,16,0,17,0,22,0,19,0,25,0,23,1,23,0,25,0,27,0,15,0,21,0,26,0,18,0,18,0,13,0,22,0,28,2,25,1,22,0,18,0,23,0,24,0,21,0,20,0,16,0,24,0,17,0,24,0,22,0,20,0,23,0,10,0,22,0,18,0,20,1,15,0,20,0,12,1,15,0,19,0,17,0,22,0,23,0,14,0,17,0,12,0,19,0,13,0,22,0,24,0,21,0,10,0,21,0,21,0,21,0,24,0,19,0,23,0,15,1,20,0,24,0,26,0,19,0,21,0,15,0,17,0,24,0,24,0,24,0,28,0,14,0,27,0,24,0,25,0,19,0,23,0,22,0,21,0,16,0,21,1,14,0,24,0,17,0,24
30.0,scale=1.0,0,28,0,37,0,32,0,31,0,36,0,36,0,29,0,26,0,28,0,28,0,29,0,35,0,22,0,23,0,26,0,26,0,29,1,26,0,20,0,33,0,29,0,24,1,30,0,24,0,29,0,36,1,35,0,34,0,26,0,21,1,35,1,40,0,18,0,29,2,29,0,18,0,36,0,33,0,36,0,26,0,35,0,35,0,30,0,46,0,26,0,33,0,25,0,28,0,27,0,29,1,26,1,24,0,23,0,22,0,23,0,23,0,35,0,34,0,29,1,20,0,27,0,26,0,31,0,25,0,25,0,34,0,29,0,28,0,35,0,38,0,31,1,43,0,31,0,31,0,35,0,32,0,33,0,29,0,26,0,30,0,26,0,30,0,28,0,25,1,40,0,28,3,29,0,27,0,30,1,30,0,21,0,28,0,29,0,23,0,31,0,32,0,28,0,32,0,39,1,25
40.0,cell_count=1000.0,0,39,0,41,0,45,0,44,0,39,0,30,0,45,0,44,0,29,0,36,0,34,1,36,0,36,0,35,0,37,0,44,0,43,0,43,0,43,0,36,0,53,0,36,0,40,0,34,0,38,0,33,0,38,0,39,0,43,0,29,0,34,0,33,0,46,0,49,0,51,0,36,1,43,0,41,0,37,0,36,0,39,0,33,0,36,0,39,0,33,0,32,0,44,0,48,1,34,0,44,0,43,0,31,0,45,0,38,0,39,0,30,0,42,1,38,0,34,0,42,0,44,0,36,1,36,1,42,0,42,0,49,0,38,0,31,1,49,0,37,0,36,1,47,0,38,0,40,1,38,0,45,0,33,0,44,0,44,0,35,0,32,1,25,1,47,0,38,1,40,0,35,1,37,0,40,0,51,0,49,0,41,0,24,0,40,0,30,0,50,1,43,0,48,0,28,0,24,0,42
50.0,muG=0.0,0,49,0,35,0,54,0,46,0,55,0,48,0,44,0,43,0,41,1,52,0,46,0,48,0,46,0,53,0,56,0,60,0,51,0,42,0,41,0,37,0,50,0,45,0,48,0,67,0,48,0,55,0,46,0,50,0,53,0,54,0,48,2,58,1,48,0,53,0,43,1,53,1,57,1,49,1,40,1,58,0,51,0,53,0,51,0,64,0,56,0,65,0,70,0,44,0,50,0,54,1,46,0,58,0,61,0,51,0,45,0,38,0,63,0,30,1,52,0,43,0,53,1,53,0,40,0,46,1,48,0,51,0,51,0,50,0,48,0,46,0,44,0,44,0,46,0,45,0,48,0,47,0,53,1,53,1,47,0,48,0,40,0,48,0,40,1,47,0,47,0,50,1,42,0,46,0,53,0,55,0,62,0,60,0,43,0,56,0,45,0,38,0,63,0,51,0,55,0,51
60.0,sigmaG=1.0,0,54,1,59,1,78,0,68,0,63,0,56,2,63,0,70,1,77,1,57,0,60,1,57,0,58,1,71,0,63,0,55,1,57,2,68,1,63,0,57,0,50,1,68,0,52,1,60,1,58,0,59,1,57,0,62,0,63,0,60,0,68,0,73,0,49,0,62,1,77,0,54,0,51,0,49,0,59,0,44,1,62,0,61,0,50,0,65,2,53,0,65,0,70,0,67,0,62,0,61,1,63,0,58,2,51,1,56,0,62,0,65,0,57,1,70,1,70,0,61,0,57,0,56,0,47,0,67,1,65,1,49,0,73,0,53,0,59,1,59,0,56,2,54,1,61,0,60,0,75,0,63,0,54,0,57,0,58,0,56,0,70,1,62,0,54,0,51,0,58,0,53,0,69,0,62,0,52,1,56,0,53,1,61,0,50,2,46,1,61,1,70,0,48,0,68,0,71,0,67
70.0,muR=12.0,0,74,0,74,0,68,1,59,0,63,0,77,0,74,0,65,0,69,0,91,1,68,0,78,1,75,0,56,1,63,1,64,0,75,1,72,1,70,0,69,1,73,0,68,0,82,0,68,0,58,0,80,1,81,0,67,0,63,0,78,0,61,0,61,0,74,2,83,1,83,0,65,0,83,0,73,0,67,0,70,0,66,0,72,0,70,2,77,1,87,0,78,0,76,1,66,0,78,1,76,0,69,0,65,1,65,0,80,1,69,1,82,1,68,1,62,0,59,1,74,0,50,2,71,1,62,0,54,3,78,0,75,0,87,0,75,0,62,0,67,1,80,1,60,1,76,0,76,0,72,0,69,0,72,0,68,0,65,1,70,1,70,0,74,0,62,0,68,0,59,0,68,0,68,0,59,0,72,0,72,0,81,0,74,1,64,0,61,0,64,0,68,1,65,2,64,1,60,0,74
80.0,sigmaR=1.0,2,91,0,73,1,88,0,80,1,80,0,65,0,84,1,98,1,86,0,65,0,90,0,73,0,81,1,91,0,70,0,80,0,96,0,79,0,76,0,90,0,75,0,61,0,98,0,64,0,78,1,82,0,85,0,79,0,76,0,88,0,81,1,74,0,68,1,78,1,70,1,79,0,81,0,83,1,89,0,85,1,65,0,84,1,80,2,87,0,64,0,84,1,81,0,82,1,82,0,76,0,76,1,87,0,84,0,80,0,91,2,82,1,72,0,86,0,78,1,82,0,77,3,83,0,66,1,69,0,79,0,81,0,61,1,99,0,81,0,69,1,82,0,76,1,75,0,70,2,71,0,63,1,77,0,86,2,79,1,85,1,78,0,75,0,75,0,76,0,72,0,102,2,74,0,64,1,76,0,73,0,88,1,71,1,80,1,98,0,84,1,93,0,80,0,76,2,89,0,95
90.0,gamma=0.45,1,97,0,94,0,73,2,88,0,81,1,82,0,92,2,89,0,73,0,91,1,99,1,78,0,93,0,89,1,92,1,115,0,74,1,96,1,85,0,83,0,106,0,93,0,85,0,75,0,90,0,99,1,104,0,97,0,89,0,70,0,105,0,88,3,93,1,81,2,95,1,103,0,95,3,105,0,91,1,99,0,85,0,94,0,84,0,89,2,80,0,105,0,92,1,86,1,99,0,88,0,100,0,86,0,81,0,89,1,91,0,94,1,85,0,83,1,93,0,100,0,90,0,102,1,83,0,114,0,88,0,80,0,64,0,87,0,85,0,89,0,89,1,76,2,83,1,77,0,81,0,85,0,69,1,101,2,98,0,99,0,88,0,85,0,85,0,99,0,84,0,77,0,78,2,93,1,92,0,94,0,100,1,90,0,92,0,81,2,107,0,92,1,104,0,87,1,105,0,109
100.0,vMax=1000.0,0,92,0,95,1,95,0,98,1,99,1,85,1,91,0,107,0,109,1,95,0,104,1,97,0,99,1,113,0,109,0,104,0,103,0,95,0,111,1,110,0,84,0,112,2,112,0,107,0,99,1,103,0,106,1,90,0,99,0,94,0,103,1,98,0,99,0,87,1,97,0,84,1,99,0,84,0,112,0,100,0,97,0,98,0,115,1,105,2,107,0,95,0,99,1,98,0,99,0,96,1,94,1,107,0,97,2,91,0,87,0,101,1,101,0,95,1,100,1,88,1,98,1,111,0,89,1,120,0,114,0,90,1,96,2,98,0,84,0,115,0,104,0,103,0,115,0,92,0,92,0,113,1,112,0,96,0,94,0,121,0,127,0,93,1,92,0,99,2,125,1,86,2,99,0,109,2,108,1,96,0,112,1,100,0,96,1,112,2,91,0,125,1,70,1,114,0,92,0,96
