GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2,GFP IU run=3,total_interactions run=3,GFP IU run=4,total_interactions run=4,GFP IU run=5,total_interactions run=5,GFP IU run=6,total_interactions run=6,GFP IU run=7,total_interactions run=7,GFP IU run=8,total_interactions run=8,GFP IU run=9,total_interactions run=9,GFP IU run=10,total_interactions run=10,GFP IU run=11,total_interactions run=11,GFP IU run=12,total_interactions run=12,GFP IU run=13,total_interactions run=13,GFP IU run=14,total_interactions run=14,GFP IU run=15,total_interactions run=15,GFP IU run=16,total_interactions run=16,GFP IU run=17,total_interactions run=17,GFP IU run=18,total_interactions run=18,GFP IU run=19,total_interactions run=19,GFP IU run=20,total_interactions run=20,GFP IU run=21,total_interactions run=21,GFP IU run=22,total_interactions run=22,GFP IU run=23,total_interactions run=23,GFP IU run=24,total_interactions run=24,GFP IU run=25,total_interactions run=25,GFP IU run=26,total_interactions run=26,GFP IU run=27,total_interactions run=27,GFP IU run=28,total_interactions run=28,GFP IU run=29,total_interactions run=29,GFP IU run=30,total_interactions run=30,GFP IU run=31,total_interactions run=31,GFP IU run=32,total_interactions run=32,GFP IU run=33,total_interactions run=33,GFP IU run=34,total_interactions run=34,GFP IU run=35,total_interactions run=35,GFP IU run=36,total_interactions run=36,GFP IU run=37,total_interactions run=37,GFP IU run=38,total_interactions run=38,GFP IU run=39,total_interactions run=39,GFP IU run=40,total_interactions run=40,GFP IU run=41,total_interactions run=41,GFP IU run=42,total_interactions run=42,GFP IU run=43,total_interactions run=43,GFP IU run=44,total_interactions run=44,GFP IU run=45,total_interactions run=45,GFP IU run=46,total_interactions run=46,GFP IU run=47,total_interactions run=47,GFP IU run=48,total_interactions run=48,GFP IU run=49,total_interactions run=49,GFP IU run=50,total_interactions run=50,GFP IU run=51,total_interactions run=51,GFP IU run=52,total_interactions run=52,GFP IU run=53,total_interactions run=53,GFP IU run=54,total_interactions run=54,GFP IU run=55,total_interactions run=55,GFP IU run=56,total_interactions run=56,GFP IU run=57,total_interactions run=57,GFP IU run=58,total_interactions run=58,GFP IU run=59,total_interactions run=59,GFP IU run=60,total_interactions run=60,GFP IU run=61,total_interactions run=61,GFP IU run=62,total_interactions run=62,GFP IU run=63,total_interactions run=63,GFP IU run=64,total_interactions run=64,GFP IU run=65,total_interactions run=65,GFP IU run=66,total_interactions run=66,GFP IU run=67,total_interactions run=67,GFP IU run=68,total_interactions run=68,GFP IU run=69,total_interactions run=69,GFP IU run=70,total_interactions run=70,GFP IU run=71,total_interactions run=71,GFP IU run=72,total_interactions run=72,GFP IU run=73,total_interactions run=73,GFP IU run=74,total_interactions run=74,GFP IU run=75,total_interactions run=75,GFP IU run=76,total_interactions run=76,GFP IU run=77,total_interactions run=77,GFP IU run=78,total_interactions run=78,GFP IU run=79,total_interactions run=79,GFP IU run=80,total_interactions run=80,GFP IU run=81,total_interactions run=81,GFP IU run=82,total_interactions run=82,GFP IU run=83,total_interactions run=83,GFP IU run=84,total_interactions run=84,GFP IU run=85,total_interactions run=85,GFP IU run=86,total_interactions run=86,GFP IU run=87,total_interactions run=87,GFP IU run=88,total_interactions run=88,GFP IU run=89,total_interactions run=89,GFP IU run=90,total_interactions run=90,GFP IU run=91,total_interactions run=91,GFP IU run=92,total_interactions run=92,GFP IU run=93,total_interactions run=93,GFP IU run=94,total_interactions run=94,GFP IU run=95,total_interactions run=95,GFP IU run=96,total_interactions run=96,GFP IU run=97,total_interactions run=97,GFP IU run=98,total_interactions run=98,GFP IU run=99,total_interactions run=99
10.0,simul_name=clump,0,12,0,7,0,6,0,11,0,12,0,9,0,10,0,10,0,8,0,8,0,4,1,14,0,12,1,15,1,12,0,4,0,7,0,16,0,11,0,7,0,8,0,10,0,6,0,15,0,7,0,8,0,6,1,10,0,7,0,9,0,10,0,8,2,10,0,9,0,7,0,6,0,11,0,10,0,9,1,15,0,13,0,11,1,8,0,5,1,10,0,9,0,10,0,10,0,11,0,5,1,6,0,10,0,5,0,8,0,12,0,13,0,15,1,11,0,8,0,12,0,8,0,13,0,11,0,8,0,11,0,8,0,12,0,7,0,9,0,14,0,12,0,10,0,13,0,10,0,8,0,11,1,21,0,13,0,11,0,10,0,7,0,11,0,16,0,14,0,17,0,12,0,6,0,10,0,9,0,11,1,9,0,13,0,13,0,11,0,9,0,8,0,5,0,9,0,15,0,11
20.0,num_simulations=100,0,21,0,16,1,25,0,14,1,11,0,24,0,25,1,23,0,23,0,18,0,17,0,20,0,23,0,31,0,18,0,23,0,25,1,21,0,22,0,22,0,26,0,24,2,22,0,24,0,25,0,30,0,21,0,25,1,20,0,16,0,21,0,19,0,22,0,21,0,25,0,20,0,20,1,17,0,13,0,19,0,28,1,18,0,23,0,11,0,16,1,21,0,28,0,12,0,22,0,18,0,23,0,17,0,21,0,16,0,20,0,31,0,24,0,19,0,20,0,16,0,14,1,22,0,19,1,20,0,22,0,27,0,18,0,21,0,16,0,23,1,25,0,30,0,29,1,36,0,15,0,27,0,22,0,21,0,12,0,19,0,19,0,24,0,14,1,20,0,26,0,20,0,15,1,21,0,24,0,24,1,17,0,24,0,18,0,23,0,19,0,23,0,15,0,24,0,17,0,18
30.0,scale=1.0,0,25,0,31,0,39,1,31,0,35,0,37,0,29,0,30,0,33,0,24,0,34,0,33,0,27,0,25,0,33,0,29,1,30,0,31,1,31,0,28,0,26,0,33,0,32,0,32,0,30,0,25,0,25,0,22,0,34,0,24,0,20,1,19,0,31,0,28,0,42,0,35,0,21,0,29,0,22,0,28,1,24,0,22,0,29,0,24,0,33,0,26,0,31,0,31,0,29,0,32,0,25,0,23,1,31,1,30,0,20,0,37,1,21,0,33,0,31,0,29,1,35,1,30,0,25,0,28,1,31,0,41,0,38,1,24,0,25,0,28,0,40,0,27,0,29,0,26,0,35,0,28,0,24,0,32,1,29,0,36,0,22,0,29,1,29,1,25,0,30,1,16,0,29,0,27,1,34,0,34,1,30,0,33,0,36,0,40,0,22,0,25,0,30,0,32,0,41,0,30
40.0,cell_count=1000.0,0,31,0,37,0,42,1,45,0,43,0,43,1,35,0,33,0,38,0,45,1,43,0,47,0,44,1,32,0,50,1,38,1,38,0,38,1,53,0,33,0,47,0,53,1,49,0,55,0,39,1,38,0,33,0,42,0,40,1,41,1,35,0,53,0,30,0,30,0,53,0,41,0,34,1,28,1,42,0,44,0,45,0,50,0,36,2,42,0,34,1,48,0,37,0,37,0,34,0,33,0,43,0,53,1,46,0,48,0,40,1,38,0,43,0,43,0,36,0,34,0,38,0,35,0,46,0,41,1,40,0,31,0,42,0,28,3,45,0,33,0,34,1,44,1,49,0,33,1,39,0,48,0,40,0,34,1,45,1,43,0,39,1,42,1,36,1,45,0,41,0,42,1,44,0,33,1,28,1,50,0,36,0,35,0,44,0,45,0,40,0,34,0,44,0,45,0,47,0,31
50.0,muG=0.0,0,53,1,50,0,42,0,49,0,51,0,63,1,49,0,56,0,45,0,61,0,52,0,52,1,47,0,46,0,56,0,43,1,48,0,49,0,46,0,40,0,36,0,56,0,48,0,50,0,50,0,61,0,49,0,53,0,47,0,58,0,40,1,45,1,44,1,59,0,47,0,48,0,41,0,54,0,53,0,59,1,59,1,52,1,45,0,60,0,56,0,56,0,50,0,55,0,51,0,47,0,50,0,66,0,54,1,60,0,52,0,36,0,52,0,61,2,55,0,49,1,61,0,49,0,52,0,56,1,42,0,43,0,42,1,53,0,59,0,64,0,55,0,48,0,42,0,53,0,53,1,56,1,38,0,46,0,46,2,49,1,38,1,55,0,46,0,38,0,62,1,42,1,33,1,51,0,65,1,47,0,57,1,47,0,62,0,40,0,44,0,56,0,48,0,63,0,46,0,46
60.0,sigmaG=1.0,1,60,1,71,0,56,0,78,0,61,1,63,0,50,0,57,0,64,0,51,0,59,0,59,1,57,1,61,0,55,0,64,1,62,3,48,1,64,0,71,1,58,0,57,0,57,0,55,1,63,0,62,0,69,0,57,0,57,0,63,2,57,0,47,0,52,0,63,1,60,0,53,0,60,0,59,0,70,0,67,1,63,1,62,0,74,0,70,0,63,0,59,1,64,2,69,2,61,0,66,0,52,2,72,0,58,0,58,1,77,0,67,0,60,0,42,1,62,0,69,1,57,1,62,0,69,0,70,0,68,0,62,1,73,0,51,0,60,0,60,0,52,0,71,0,67,0,56,0,55,0,60,0,63,0,65,0,52,0,61,1,53,0,62,0,59,0,56,1,54,0,59,0,54,1,64,2,51,2,61,0,65,0,53,0,51,0,63,0,60,0,66,0,54,0,60,1,65,0,67
70.0,muR=12.0,0,59,0,64,0,71,0,72,3,70,0,79,1,70,0,72,0,69,1,66,0,61,0,71,0,77,0,66,3,64,0,59,0,59,1,74,1,49,0,66,0,78,1,65,2,57,0,84,0,63,0,72,0,62,0,82,0,83,0,78,0,78,1,66,1,66,0,73,0,62,0,57,1,82,1,77,1,81,0,82,1,78,1,92,0,74,0,84,0,57,1,81,0,68,0,74,1,88,0,63,0,91,0,66,1,71,0,75,0,59,0,71,0,69,0,70,0,62,0,69,2,64,0,63,0,67,0,69,0,61,0,68,1,63,0,59,0,60,0,74,0,64,0,70,0,82,1,72,0,72,0,70,0,74,0,63,0,75,0,69,1,81,0,82,1,70,0,76,2,72,0,67,0,80,0,70,0,66,0,62,0,54,1,57,1,73,0,69,0,82,2,74,1,68,0,75,0,77,0,66
80.0,sigmaR=1.0,0,80,0,79,2,88,1,69,1,91,0,81,0,87,0,71,0,80,0,85,1,76,1,84,0,84,0,88,1,83,1,76,0,74,0,79,1,98,1,73,1,82,0,87,1,91,0,75,0,73,0,65,1,80,1,84,1,80,1,66,1,79,0,82,0,94,0,79,0,86,0,112,1,87,1,88,0,93,0,82,0,61,0,76,0,77,0,101,1,74,0,80,1,79,1,71,1,84,2,83,1,87,0,80,0,80,0,70,1,68,0,71,0,72,0,82,1,72,0,85,1,69,0,84,1,86,0,81,0,69,0,71,0,83,0,72,1,78,0,78,0,76,0,70,0,78,1,76,0,71,0,65,0,76,0,75,1,79,0,87,1,85,0,90,1,90,0,79,1,92,0,75,0,75,1,71,0,77,0,74,0,83,1,96,1,78,0,84,0,77,0,84,0,67,1,83,0,86,0,81
90.0,gamma=0.45,1,90,0,106,0,88,0,88,0,85,1,99,2,104,2,109,0,75,0,98,0,82,0,95,0,82,0,93,0,92,0,92,0,101,0,90,0,99,0,98,2,93,0,93,0,109,0,90,0,113,0,87,0,88,0,78,1,106,2,107,0,84,1,88,1,100,2,94,0,86,1,85,1,91,2,91,0,99,0,89,0,87,0,99,1,100,0,95,0,91,0,93,0,98,1,92,0,104,0,98,1,96,0,80,0,85,0,96,0,85,0,97,0,85,0,98,2,89,0,86,1,92,0,84,1,107,0,89,1,86,0,102,0,71,1,94,0,92,1,97,0,114,1,87,0,101,2,97,0,95,1,104,0,83,1,77,0,86,1,91,0,72,0,92,0,74,1,98,0,96,1,90,0,88,0,106,1,92,0,93,1,83,0,88,0,90,1,79,0,99,1,99,2,91,0,98,0,90,0,87
100.0,vMax=1000.0,1,112,0,105,0,69,0,102,0,82,0,98,2,114,1,114,0,128,0,95,0,87,0,100,1,104,0,110,2,85,0,88,1,98,0,112,3,112,0,104,0,115,0,101,0,99,1,94,0,103,0,107,0,101,0,99,3,101,0,97,1,103,2,102,1,95,0,104,0,101,0,92,0,115,1,103,0,95,0,105,0,83,3,99,3,110,0,103,2,112,0,115,0,93,1,96,2,83,1,93,1,102,1,105,0,98,1,91,0,79,1,86,1,98,0,105,0,86,0,99,1,91,1,97,1,102,0,104,0,75,0,108,0,95,0,97,1,100,0,100,0,90,1,103,0,90,0,108,1,95,0,110,0,105,1,109,2,87,0,90,0,83,2,102,2,103,0,96,1,93,0,92,0,91,2,119,0,85,0,96,0,95,1,102,1,84,1,118,0,96,0,107,0,91,0,122,0,112,0,97
