GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2,GFP IU run=3,total_interactions run=3,GFP IU run=4,total_interactions run=4,GFP IU run=5,total_interactions run=5,GFP IU run=6,total_interactions run=6,GFP IU run=7,total_interactions run=7,GFP IU run=8,total_interactions run=8,GFP IU run=9,total_interactions run=9,GFP IU run=10,total_interactions run=10,GFP IU run=11,total_interactions run=11,GFP IU run=12,total_interactions run=12,GFP IU run=13,total_interactions run=13,GFP IU run=14,total_interactions run=14,GFP IU run=15,total_interactions run=15,GFP IU run=16,total_interactions run=16,GFP IU run=17,total_interactions run=17,GFP IU run=18,total_interactions run=18,GFP IU run=19,total_interactions run=19,GFP IU run=20,total_interactions run=20,GFP IU run=21,total_interactions run=21,GFP IU run=22,total_interactions run=22,GFP IU run=23,total_interactions run=23,GFP IU run=24,total_interactions run=24,GFP IU run=25,total_interactions run=25,GFP IU run=26,total_interactions run=26,GFP IU run=27,total_interactions run=27,GFP IU run=28,total_interactions run=28,GFP IU run=29,total_interactions run=29,GFP IU run=30,total_interactions run=30,GFP IU run=31,total_interactions run=31,GFP IU run=32,total_interactions run=32,GFP IU run=33,total_interactions run=33,GFP IU run=34,total_interactions run=34,GFP IU run=35,total_interactions run=35,GFP IU run=36,total_interactions run=36,GFP IU run=37,total_interactions run=37,GFP IU run=38,total_interactions run=38,GFP IU run=39,total_interactions run=39,GFP IU run=40,total_interactions run=40,GFP IU run=41,total_interactions run=41,GFP IU run=42,total_interactions run=42,GFP IU run=43,total_interactions run=43,GFP IU run=44,total_interactions run=44,GFP IU run=45,total_interactions run=45,GFP IU run=46,total_interactions run=46,GFP IU run=47,total_interactions run=47,GFP IU run=48,total_interactions run=48,GFP IU run=49,total_interactions run=49,GFP IU run=50,total_interactions run=50,GFP IU run=51,total_interactions run=51,GFP IU run=52,total_interactions run=52,GFP IU run=53,total_interactions run=53,GFP IU run=54,total_interactions run=54,GFP IU run=55,total_interactions run=55,GFP IU run=56,total_interactions run=56,GFP IU run=57,total_interactions run=57,GFP IU run=58,total_interactions run=58,GFP IU run=59,total_interactions run=59,GFP IU run=60,total_interactions run=60,GFP IU run=61,total_interactions run=61,GFP IU run=62,total_interactions run=62,GFP IU run=63,total_interactions run=63,GFP IU run=64,total_interactions run=64,GFP IU run=65,total_interactions run=65,GFP IU run=66,total_interactions run=66,GFP IU run=67,total_interactions run=67,GFP IU run=68,total_interactions run=68,GFP IU run=69,total_interactions run=69,GFP IU run=70,total_interactions run=70,GFP IU run=71,total_interactions run=71,GFP IU run=72,total_interactions run=72,GFP IU run=73,total_interactions run=73,GFP IU run=74,total_interactions run=74,GFP IU run=75,total_interactions run=75,GFP IU run=76,total_interactions run=76,GFP IU run=77,total_interactions run=77,GFP IU run=78,total_interactions run=78,GFP IU run=79,total_interactions run=79,GFP IU run=80,total_interactions run=80,GFP IU run=81,total_interactions run=81,GFP IU run=82,total_interactions run=82,GFP IU run=83,total_interactions run=83,GFP IU run=84,total_interactions run=84,GFP IU run=85,total_interactions run=85,GFP IU run=86,total_interactions run=86,GFP IU run=87,total_interactions run=87,GFP IU run=88,total_interactions run=88,GFP IU run=89,total_interactions run=89,GFP IU run=90,total_interactions run=90,GFP IU run=91,total_interactions run=91,GFP IU run=92,total_interactions run=92,GFP IU run=93,total_interactions run=93,GFP IU run=94,total_interactions run=94,GFP IU run=95,total_interactions run=95,GFP IU run=96,total_interactions run=96,GFP IU run=97,total_interactions run=97,GFP IU run=98,total_interactions run=98,GFP IU run=99,total_interactions run=99
10.0,simul_name=clump,1,13,0,10,0,10,0,17,0,16,1,9,0,20,0,12,0,6,0,13,0,13,0,16,0,12,0,8,1,12,0,12,0,5,0,12,0,7,0,7,0,16,0,13,0,10,0,17,0,15,0,12,0,12,0,10,0,15,0,8,0,15,0,13,0,16,0,11,0,9,0,15,1,6,0,25,0,9,0,13,0,13,0,16,0,9,0,10,0,9,0,14,0,17,0,13,1,19,0,12,0,12,0,17,0,16,0,10,1,10,0,5,0,14,0,18,0,18,0,9,0,14,0,17,0,13,0,15,0,10,0,10,0,10,0,11,1,13,0,10,1,13,0,7,0,8,0,9,0,6,0,13,0,12,0,17,0,19,0,13,0,9,0,13,0,14,0,19,0,15,0,17,0,8,0,8,0,5,0,11,0,8,0,18,0,10,0,12,0,13,0,7,0,22,0,13,0,15,0,14
20.0,num_simulations=100,0,24,0,29,0,26,1,27,0,31,0,28,0,16,0,32,0,35,0,24,0,22,0,19,0,35,0,23,0,24,1,18,0,22,0,30,0,17,0,20,0,24,0,25,1,38,0,28,0,18,0,16,0,18,0,20,1,24,1,33,0,14,1,26,1,18,0,25,0,26,0,36,0,27,0,22,0,25,0,26,0,25,0,24,0,30,0,16,0,23,0,30,0,19,0,23,0,31,0,18,0,22,0,46,0,27,0,31,0,27,0,31,0,22,0,30,1,36,0,31,0,26,1,45,1,24,0,20,0,30,0,25,0,31,1,22,0,28,0,25,0,29,0,29,0,28,0,24,0,31,0,16,0,16,0,30,0,26,0,26,0,33,0,22,0,20,1,37,1,25,0,31,1,46,0,25,1,26,0,36,0,30,0,23,0,33,1,21,0,21,0,15,0,33,0,34,0,23,0,36
30.0,scale=1.0,0,37,0,35,1,40,2,44,0,30,0,49,0,61,0,57,0,51,0,51,0,35,0,37,0,44,1,39,1,43,1,61,1,32,1,48,0,39,0,42,0,47,1,32,0,47,0,34,1,54,0,42,0,31,0,46,1,54,0,59,1,59,0,42,1,43,0,47,0,50,0,51,0,35,0,28,0,64,0,33,1,46,0,44,0,43,0,56,0,70,0,49,0,35,1,41,0,55,0,50,0,24,0,42,1,46,0,48,0,41,0,36,0,36,0,30,0,63,0,32,0,38,0,54,0,40,1,43,1,41,0,41,0,35,0,50,0,45,0,36,0,35,0,45,0,32,1,33,0,41,0,60,0,48,1,39,0,39,1,58,2,49,1,46,0,44,0,40,0,38,0,29,0,26,1,40,1,30,0,31,1,25,0,43,0,47,0,41,1,42,1,49,0,43,0,39,0,57,1,46
40.0,cell_count=1000.0,0,53,0,53,0,80,0,51,0,61,0,51,0,57,0,46,1,79,0,62,0,54,0,51,1,65,0,60,0,58,0,45,0,53,1,57,0,53,0,49,1,70,0,50,0,48,0,69,0,61,0,38,0,66,0,69,0,51,0,65,0,43,0,39,1,47,1,67,0,80,0,65,0,79,0,63,0,57,0,83,1,38,0,76,0,38,1,59,1,51,0,32,0,55,0,52,0,47,0,49,2,50,0,38,0,77,0,52,2,59,0,52,0,47,0,43,0,59,0,66,0,69,1,52,0,57,0,51,0,62,0,60,0,68,0,57,0,73,0,69,0,53,0,56,1,59,0,46,0,47,0,36,0,54,1,76,1,56,0,76,2,64,0,63,0,46,0,59,0,68,0,53,1,53,0,57,1,80,1,46,0,59,3,70,0,46,1,57,0,52,0,49,0,45,0,39,0,53,0,55
50.0,muG=0.0,1,51,0,83,2,74,0,52,0,75,0,88,1,62,1,59,1,86,0,74,0,76,0,69,3,66,3,73,1,68,1,74,1,75,1,103,0,67,0,70,1,90,0,89,0,74,0,76,1,89,0,61,0,88,0,71,0,63,0,91,0,77,1,73,0,70,0,77,0,53,1,58,0,72,0,79,0,119,0,74,1,81,0,69,0,74,0,87,0,85,0,107,1,86,0,79,0,87,2,58,0,87,0,73,2,83,0,73,1,95,0,102,0,63,1,51,0,77,1,59,2,71,0,73,1,70,1,67,1,73,0,80,1,95,1,75,1,63,0,73,0,78,1,72,0,83,0,70,0,42,0,81,1,76,0,87,0,82,1,73,1,65,1,75,1,74,0,59,0,85,0,55,0,72,3,80,1,62,0,79,0,74,0,70,1,100,0,67,0,56,1,74,0,102,0,63,0,69,0,92
60.0,sigmaG=1.0,1,78,0,88,1,98,0,79,0,83,0,99,0,114,0,80,1,101,0,88,0,100,1,79,1,99,1,95,1,112,1,98,0,74,1,104,0,75,0,105,0,83,0,66,2,64,0,90,1,100,0,92,0,86,0,106,0,91,0,87,0,85,2,76,1,80,0,90,0,95,0,63,2,82,0,79,1,85,1,99,1,96,0,92,0,97,1,85,0,84,0,85,2,81,0,127,1,90,0,87,2,108,0,136,0,63,0,90,0,77,0,96,0,88,0,74,0,95,1,90,1,73,1,111,0,87,0,73,0,78,0,74,0,75,1,94,0,75,1,103,0,103,1,83,1,89,0,105,0,105,0,106,2,103,1,85,1,91,1,103,0,73,0,93,1,89,0,87,1,84,0,97,0,91,0,93,0,80,1,85,1,94,1,97,0,97,1,97,1,109,0,83,1,88,0,79,0,71,1,84
70.0,muR=12.0,1,106,0,113,1,126,1,111,1,103,1,119,0,109,1,108,1,103,2,103,1,87,0,117,0,121,1,117,1,95,1,80,0,94,0,114,0,105,1,98,1,109,2,99,0,88,0,82,2,85,1,132,1,96,2,97,1,101,0,103,1,134,2,99,0,119,1,110,1,95,1,85,0,121,0,114,1,97,0,94,1,117,0,132,1,107,2,76,1,107,1,116,0,141,1,84,1,108,0,89,1,103,1,96,0,126,0,90,0,125,0,96,1,91,1,105,1,114,0,109,0,133,3,128,3,138,0,106,0,96,1,113,0,93,1,108,0,116,0,105,0,104,0,120,0,137,0,102,2,100,1,102,0,121,2,105,0,114,1,132,1,106,0,109,1,105,1,108,2,139,0,123,0,98,1,126,0,77,1,89,1,112,1,101,0,78,0,115,1,131,1,116,1,106,1,109,1,109,1,117
80.0,sigmaR=1.0,3,177,0,125,0,148,0,140,0,163,1,125,0,123,3,115,0,138,1,122,0,163,0,178,0,135,0,135,1,117,2,143,0,123,0,162,0,131,1,143,1,136,3,199,0,136,1,102,0,105,0,141,1,121,0,99,0,126,0,106,1,118,0,156,0,112,0,137,0,112,1,148,0,130,3,148,0,123,0,127,0,137,0,147,0,155,1,137,1,123,1,135,0,124,2,111,2,149,0,163,1,119,1,150,1,118,0,135,1,140,0,174,0,137,0,129,1,117,3,128,2,154,0,123,0,152,0,115,1,131,0,130,1,93,0,127,2,158,0,91,1,99,3,146,2,132,1,133,1,141,1,131,0,117,0,142,1,167,0,95,1,141,2,137,1,153,1,150,3,128,0,93,1,168,0,120,0,160,1,114,0,120,0,136,2,100,0,138,1,137,0,112,1,135,0,134,2,135,0,127
90.0,gamma=0.45,0,120,0,149,3,160,2,164,0,123,2,122,0,165,1,145,0,189,0,170,0,167,0,126,1,153,0,135,1,129,1,154,0,200,2,140,1,144,0,136,1,179,1,136,0,159,2,182,1,136,1,140,0,123,0,164,0,154,0,133,0,153,1,158,2,174,0,153,2,177,1,111,1,153,1,206,1,182,2,133,1,181,1,173,2,129,0,189,1,169,0,150,1,135,1,176,1,166,0,170,1,161,3,121,1,146,0,137,1,140,0,178,0,147,0,147,0,178,1,133,1,153,2,166,0,193,1,166,0,126,0,143,2,145,1,167,1,149,1,116,1,136,1,145,1,153,3,132,1,147,0,128,0,112,1,160,1,150,2,174,1,132,2,142,1,204,2,133,2,176,0,141,1,178,0,165,2,144,0,151,2,149,0,158,1,161,0,168,1,156,0,120,0,141,0,195,1,160,0,139
100.0,vMax=1000.0,0,129,0,146,1,151,2,170,0,203,0,148,1,151,2,172,0,149,3,172,4,156,0,139,0,180,0,133,1,199,0,183,2,142,0,180,1,172,2,146,1,162,2,171,0,169,1,159,3,202,0,144,1,184,2,180,1,166,2,143,1,158,1,152,1,183,0,160,0,151,0,162,3,173,0,170,2,173,0,147,2,161,0,170,2,172,1,137,2,156,1,155,0,158,1,122,1,217,1,159,0,175,1,178,1,185,1,161,0,156,1,170,0,142,0,148,0,146,2,143,0,144,2,165,1,175,2,167,2,167,1,180,1,155,0,152,2,194,0,148,2,196,3,161,2,148,2,178,1,189,1,143,1,192,0,180,1,139,0,133,2,182,0,183,1,183,0,177,0,163,2,171,1,171,1,169,2,155,0,158,1,155,3,136,1,134,0,158,0,165,2,180,4,172,1,162,0,179,0,184
