GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2,GFP IU run=3,total_interactions run=3,GFP IU run=4,total_interactions run=4,GFP IU run=5,total_interactions run=5,GFP IU run=6,total_interactions run=6,GFP IU run=7,total_interactions run=7,GFP IU run=8,total_interactions run=8,GFP IU run=9,total_interactions run=9,GFP IU run=10,total_interactions run=10,GFP IU run=11,total_interactions run=11,GFP IU run=12,total_interactions run=12,GFP IU run=13,total_interactions run=13,GFP IU run=14,total_interactions run=14,GFP IU run=15,total_interactions run=15,GFP IU run=16,total_interactions run=16,GFP IU run=17,total_interactions run=17,GFP IU run=18,total_interactions run=18,GFP IU run=19,total_interactions run=19,GFP IU run=20,total_interactions run=20,GFP IU run=21,total_interactions run=21,GFP IU run=22,total_interactions run=22,GFP IU run=23,total_interactions run=23,GFP IU run=24,total_interactions run=24,GFP IU run=25,total_interactions run=25,GFP IU run=26,total_interactions run=26,GFP IU run=27,total_interactions run=27,GFP IU run=28,total_interactions run=28,GFP IU run=29,total_interactions run=29,GFP IU run=30,total_interactions run=30,GFP IU run=31,total_interactions run=31,GFP IU run=32,total_interactions run=32,GFP IU run=33,total_interactions run=33,GFP IU run=34,total_interactions run=34,GFP IU run=35,total_interactions run=35,GFP IU run=36,total_interactions run=36,GFP IU run=37,total_interactions run=37,GFP IU run=38,total_interactions run=38,GFP IU run=39,total_interactions run=39,GFP IU run=40,total_interactions run=40,GFP IU run=41,total_interactions run=41,GFP IU run=42,total_interactions run=42,GFP IU run=43,total_interactions run=43,GFP IU run=44,total_interactions run=44,GFP IU run=45,total_interactions run=45,GFP IU run=46,total_interactions run=46,GFP IU run=47,total_interactions run=47,GFP IU run=48,total_interactions run=48,GFP IU run=49,total_interactions run=49,GFP IU run=50,total_interactions run=50,GFP IU run=51,total_interactions run=51,GFP IU run=52,total_interactions run=52,GFP IU run=53,total_interactions run=53,GFP IU run=54,total_interactions run=54,GFP IU run=55,total_interactions run=55,GFP IU run=56,total_interactions run=56,GFP IU run=57,total_interactions run=57,GFP IU run=58,total_interactions run=58,GFP IU run=59,total_interactions run=59,GFP IU run=60,total_interactions run=60,GFP IU run=61,total_interactions run=61,GFP IU run=62,total_interactions run=62,GFP IU run=63,total_interactions run=63,GFP IU run=64,total_interactions run=64,GFP IU run=65,total_interactions run=65,GFP IU run=66,total_interactions run=66,GFP IU run=67,total_interactions run=67,GFP IU run=68,total_interactions run=68,GFP IU run=69,total_interactions run=69,GFP IU run=70,total_interactions run=70,GFP IU run=71,total_interactions run=71,GFP IU run=72,total_interactions run=72,GFP IU run=73,total_interactions run=73,GFP IU run=74,total_interactions run=74,GFP IU run=75,total_interactions run=75,GFP IU run=76,total_interactions run=76,GFP IU run=77,total_interactions run=77,GFP IU run=78,total_interactions run=78,GFP IU run=79,total_interactions run=79,GFP IU run=80,total_interactions run=80,GFP IU run=81,total_interactions run=81,GFP IU run=82,total_interactions run=82,GFP IU run=83,total_interactions run=83,GFP IU run=84,total_interactions run=84,GFP IU run=85,total_interactions run=85,GFP IU run=86,total_interactions run=86,GFP IU run=87,total_interactions run=87,GFP IU run=88,total_interactions run=88,GFP IU run=89,total_interactions run=89,GFP IU run=90,total_interactions run=90,GFP IU run=91,total_interactions run=91,GFP IU run=92,total_interactions run=92,GFP IU run=93,total_interactions run=93,GFP IU run=94,total_interactions run=94,GFP IU run=95,total_interactions run=95,GFP IU run=96,total_interactions run=96,GFP IU run=97,total_interactions run=97,GFP IU run=98,total_interactions run=98,GFP IU run=99,total_interactions run=99
10.0,simul_name=clump,0,14,0,15,0,6,1,15,0,8,0,7,0,11,0,10,0,13,0,13,0,15,0,7,0,10,0,11,0,9,0,13,0,11,0,9,0,5,0,6,0,5,0,9,0,10,0,10,0,8,0,5,0,13,0,9,0,11,0,11,0,10,0,11,0,6,0,11,1,5,0,7,0,12,0,17,0,10,0,9,0,7,0,9,0,4,0,7,0,9,0,7,0,7,0,8,0,9,0,10,0,9,0,11,0,11,0,5,0,11,0,10,0,11,0,4,0,6,0,8,0,14,0,10,0,15,0,11,1,12,0,6,0,13,0,8,0,6,0,10,0,13,0,12,1,11,0,13,0,11,0,11,0,17,0,8,0,10,0,12,0,10,0,16,0,8,0,10,0,9,0,9,0,11,0,16,0,10,0,7,0,14,0,10,0,7,0,9,1,13,0,11,0,11,0,5,1,10,0,14
20.0,num_simulations=100,1,24,0,17,0,23,0,17,0,23,0,16,0,17,0,21,0,19,0,16,1,30,0,26,0,14,0,26,0,16,0,16,0,22,0,22,0,12,0,20,0,22,0,25,0,17,0,22,0,21,0,24,0,18,0,20,0,26,0,16,0,22,0,17,0,23,0,24,0,22,0,25,0,16,0,24,0,25,0,10,1,19,0,17,0,27,0,20,0,25,0,15,0,18,0,21,0,24,0,20,0,22,0,22,1,19,0,12,1,23,0,18,0,29,1,20,0,26,0,25,0,19,0,12,0,21,0,20,0,18,0,27,0,13,0,24,0,19,0,21,0,24,0,16,0,22,0,20,0,13,0,23,0,17,0,18,0,14,0,22,0,23,0,17,0,15,0,28,0,22,0,20,0,21,0,14,0,27,0,21,0,26,0,20,0,19,0,18,0,16,0,20,0,25,0,20,0,25,0,16
30.0,scale=1.0,0,34,0,21,0,33,0,41,0,35,0,33,0,29,0,30,1,27,0,38,0,19,0,29,1,36,0,26,0,31,0,32,0,25,0,35,2,35,0,23,0,40,0,22,0,34,0,34,2,25,0,31,1,32,0,25,0,29,0,42,0,32,0,27,0,34,0,31,0,33,0,17,0,28,0,25,0,23,0,23,1,29,0,32,0,39,0,34,0,28,0,32,0,39,0,25,0,32,1,30,1,40,1,39,0,27,0,29,0,27,0,21,1,30,0,28,0,25,0,26,0,37,0,31,0,25,0,27,0,19,1,46,0,32,0,36,0,34,0,36,0,18,0,29,0,27,0,32,0,31,0,35,1,31,0,36,0,22,1,33,0,28,0,33,0,25,0,29,0,32,1,33,0,26,0,31,0,40,0,26,0,30,0,27,0,27,0,33,0,20,0,25,0,26,0,30,0,18,1,31
40.0,cell_count=1000.0,0,41,1,38,0,35,0,31,0,37,0,37,0,45,0,40,0,50,0,40,0,41,0,40,1,27,0,49,1,46,0,42,0,46,0,35,0,43,0,37,1,37,0,39,0,43,0,40,0,50,1,42,0,43,2,39,0,52,0,33,0,44,0,42,0,37,1,38,0,35,0,34,0,36,1,41,0,40,0,46,0,46,0,46,2,39,0,36,0,39,0,48,0,26,0,46,0,34,0,44,0,39,0,47,0,34,0,24,0,37,0,30,0,34,0,32,1,45,0,38,0,38,1,50,0,27,0,37,0,26,0,29,0,54,0,33,1,36,0,43,0,49,0,42,0,45,0,35,0,32,0,38,1,36,0,47,0,37,0,45,0,29,0,43,0,42,0,38,0,52,1,40,0,41,0,44,0,40,1,40,0,46,0,37,0,38,0,48,0,42,0,32,0,38,0,35,0,45,1,43
50.0,muG=0.0,1,42,0,57,1,59,0,54,0,46,0,57,0,61,0,51,0,49,0,49,1,48,0,53,0,54,0,40,0,53,0,56,0,51,0,43,0,40,0,57,0,42,0,55,0,36,1,53,0,65,0,50,0,55,0,45,0,53,2,46,0,54,0,60,0,46,0,53,0,41,0,59,1,59,0,57,0,59,0,60,0,45,1,57,1,44,0,43,0,46,0,42,0,43,0,50,1,57,1,64,0,49,0,51,1,51,0,49,1,55,0,49,0,39,1,45,0,54,1,41,1,50,0,74,0,48,0,65,0,51,0,43,0,46,0,48,0,39,0,56,0,40,0,33,0,47,0,61,0,74,0,44,0,54,0,45,0,48,0,52,0,48,0,52,0,53,0,39,0,54,1,54,0,47,0,46,1,51,0,43,1,48,1,50,0,43,0,57,0,57,0,44,0,41,0,38,1,49,0,48
60.0,sigmaG=1.0,1,62,0,52,1,69,0,70,0,50,1,63,0,75,0,61,0,55,1,72,0,64,0,54,0,67,1,60,0,46,0,60,1,64,0,84,0,54,0,67,0,56,0,67,0,52,0,48,1,55,0,60,0,65,0,62,0,50,1,54,2,73,0,62,0,62,0,53,0,72,0,69,0,59,0,64,1,62,0,63,0,65,0,58,0,58,0,52,1,64,0,50,1,54,0,66,0,59,1,64,0,50,0,67,0,71,0,58,0,58,1,54,0,63,2,57,0,59,0,66,0,58,0,61,0,52,0,38,0,57,1,62,0,50,0,55,0,65,0,67,0,55,0,69,0,48,1,48,0,55,1,66,2,52,0,55,1,48,0,55,0,54,1,59,1,62,0,66,3,74,0,49,0,68,0,67,0,68,0,51,1,53,0,66,0,66,0,81,0,63,0,46,0,60,0,75,1,57,0,71
70.0,muR=12.0,0,54,0,67,1,73,2,65,0,56,0,71,1,71,1,71,0,59,0,62,0,56,0,77,0,64,0,82,1,66,0,61,0,61,0,79,0,72,0,73,0,66,0,68,0,69,0,80,0,97,1,61,1,68,1,57,0,71,0,68,1,64,1,84,0,57,0,83,0,60,0,72,1,63,1,73,1,63,0,75,0,75,2,63,0,57,1,58,1,61,1,74,0,68,0,73,0,75,0,65,1,65,0,63,0,83,0,60,0,65,0,71,0,58,1,65,0,71,0,77,0,58,0,67,0,56,0,63,0,60,0,71,1,80,1,89,0,85,0,80,0,69,0,72,0,58,0,71,0,52,0,64,1,83,0,67,0,68,0,93,0,75,0,79,1,65,0,72,0,66,0,77,0,59,0,66,0,62,0,61,0,74,0,61,0,76,0,72,0,70,1,70,0,61,0,69,0,60,0,64
80.0,sigmaR=1.0,0,84,4,71,0,86,1,90,0,79,1,82,0,65,0,89,0,86,0,63,1,87,0,69,0,88,0,66,0,79,1,95,0,71,0,80,2,83,0,69,0,76,0,97,0,88,0,88,2,88,1,70,0,72,0,77,0,70,0,85,1,73,1,83,1,89,3,82,0,69,0,75,3,70,1,94,0,75,1,90,0,94,3,93,0,85,1,80,1,74,1,92,0,75,1,84,2,88,1,95,1,81,0,81,0,84,2,90,0,84,0,96,0,89,1,100,2,69,0,75,0,78,1,67,1,88,0,69,0,66,0,90,1,82,1,71,1,71,1,74,1,86,1,71,0,80,0,71,1,86,0,87,0,74,1,97,0,72,1,96,0,78,0,78,1,86,0,86,0,86,2,73,0,69,1,87,0,82,0,74,1,91,0,90,0,80,0,65,0,92,0,79,2,79,0,83,4,76,0,85
90.0,gamma=0.45,1,75,0,75,0,85,1,80,0,91,0,81,0,76,0,85,0,97,0,94,2,96,0,87,0,93,1,65,0,85,1,88,0,80,0,78,0,96,0,87,0,81,0,67,4,94,0,88,0,98,1,98,0,87,1,93,0,80,0,81,2,95,0,101,0,86,0,90,0,89,0,102,1,96,1,75,0,78,1,102,1,78,0,72,0,81,0,93,0,83,1,96,0,90,0,93,1,79,0,77,1,93,0,96,0,101,0,91,0,79,0,84,0,93,0,91,1,88,1,89,0,89,1,79,1,83,0,95,3,95,2,90,0,89,0,83,0,88,1,88,0,79,1,104,0,74,0,87,0,79,0,66,1,88,1,81,3,78,0,104,0,115,1,103,1,90,1,92,0,96,1,87,0,102,0,105,1,82,0,81,0,74,0,107,1,103,0,76,1,93,1,92,1,97,1,81,0,85,0,80
100.0,vMax=1000.0,0,88,2,115,1,103,0,93,1,87,0,102,0,90,1,101,0,81,0,94,0,103,0,110,0,97,0,96,0,113,1,78,0,90,0,111,0,93,0,90,1,92,0,95,1,94,1,102,1,107,0,95,0,103,0,106,1,90,0,102,1,105,0,103,1,98,0,99,1,86,0,98,1,102,0,107,0,105,3,114,0,93,1,109,1,93,2,104,1,81,0,86,0,114,0,101,0,78,1,93,3,94,0,87,0,92,0,100,0,105,1,94,0,88,1,107,0,105,1,104,0,117,0,98,0,96,0,115,1,108,0,91,0,102,0,89,0,108,1,103,1,101,2,91,1,90,0,112,0,91,1,109,1,93,0,104,0,86,0,91,2,88,0,105,1,94,2,100,0,94,2,107,0,95,1,92,0,101,2,91,0,96,0,93,0,98,1,87,1,106,0,107,0,95,0,106,0,101,1,111
