GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2,GFP IU run=3,total_interactions run=3,GFP IU run=4,total_interactions run=4,GFP IU run=5,total_interactions run=5,GFP IU run=6,total_interactions run=6,GFP IU run=7,total_interactions run=7,GFP IU run=8,total_interactions run=8,GFP IU run=9,total_interactions run=9,GFP IU run=10,total_interactions run=10,GFP IU run=11,total_interactions run=11,GFP IU run=12,total_interactions run=12,GFP IU run=13,total_interactions run=13,GFP IU run=14,total_interactions run=14,GFP IU run=15,total_interactions run=15,GFP IU run=16,total_interactions run=16,GFP IU run=17,total_interactions run=17,GFP IU run=18,total_interactions run=18,GFP IU run=19,total_interactions run=19,GFP IU run=20,total_interactions run=20,GFP IU run=21,total_interactions run=21,GFP IU run=22,total_interactions run=22,GFP IU run=23,total_interactions run=23,GFP IU run=24,total_interactions run=24,GFP IU run=25,total_interactions run=25,GFP IU run=26,total_interactions run=26,GFP IU run=27,total_interactions run=27,GFP IU run=28,total_interactions run=28,GFP IU run=29,total_interactions run=29,GFP IU run=30,total_interactions run=30,GFP IU run=31,total_interactions run=31,GFP IU run=32,total_interactions run=32,GFP IU run=33,total_interactions run=33,GFP IU run=34,total_interactions run=34,GFP IU run=35,total_interactions run=35,GFP IU run=36,total_interactions run=36,GFP IU run=37,total_interactions run=37,GFP IU run=38,total_interactions run=38,GFP IU run=39,total_interactions run=39,GFP IU run=40,total_interactions run=40,GFP IU run=41,total_interactions run=41,GFP IU run=42,total_interactions run=42,GFP IU run=43,total_interactions run=43,GFP IU run=44,total_interactions run=44,GFP IU run=45,total_interactions run=45,GFP IU run=46,total_interactions run=46,GFP IU run=47,total_interactions run=47,GFP IU run=48,total_interactions run=48,GFP IU run=49,total_interactions run=49,GFP IU run=50,total_interactions run=50,GFP IU run=51,total_interactions run=51,GFP IU run=52,total_interactions run=52,GFP IU run=53,total_interactions run=53,GFP IU run=54,total_interactions run=54,GFP IU run=55,total_interactions run=55,GFP IU run=56,total_interactions run=56,GFP IU run=57,total_interactions run=57,GFP IU run=58,total_interactions run=58,GFP IU run=59,total_interactions run=59,GFP IU run=60,total_interactions run=60,GFP IU run=61,total_interactions run=61,GFP IU run=62,total_interactions run=62,GFP IU run=63,total_interactions run=63,GFP IU run=64,total_interactions run=64,GFP IU run=65,total_interactions run=65,GFP IU run=66,total_interactions run=66,GFP IU run=67,total_interactions run=67,GFP IU run=68,total_interactions run=68,GFP IU run=69,total_interactions run=69,GFP IU run=70,total_interactions run=70,GFP IU run=71,total_interactions run=71,GFP IU run=72,total_interactions run=72,GFP IU run=73,total_interactions run=73,GFP IU run=74,total_interactions run=74,GFP IU run=75,total_interactions run=75,GFP IU run=76,total_interactions run=76,GFP IU run=77,total_interactions run=77,GFP IU run=78,total_interactions run=78,GFP IU run=79,total_interactions run=79,GFP IU run=80,total_interactions run=80,GFP IU run=81,total_interactions run=81,GFP IU run=82,total_interactions run=82,GFP IU run=83,total_interactions run=83,GFP IU run=84,total_interactions run=84,GFP IU run=85,total_interactions run=85,GFP IU run=86,total_interactions run=86,GFP IU run=87,total_interactions run=87,GFP IU run=88,total_interactions run=88,GFP IU run=89,total_interactions run=89,GFP IU run=90,total_interactions run=90,GFP IU run=91,total_interactions run=91,GFP IU run=92,total_interactions run=92,GFP IU run=93,total_interactions run=93,GFP IU run=94,total_interactions run=94,GFP IU run=95,total_interactions run=95,GFP IU run=96,total_interactions run=96,GFP IU run=97,total_interactions run=97,GFP IU run=98,total_interactions run=98,GFP IU run=99,total_interactions run=99
10.0,simul_name=clump,0,15,0,15,0,11,0,17,0,12,0,13,0,7,0,18,0,2,0,17,0,12,0,7,0,11,0,13,0,14,0,15,0,10,0,7,0,19,0,12,0,12,0,12,0,5,0,10,0,12,0,8,0,8,0,12,0,12,0,8,0,9,0,11,0,14,0,9,0,8,0,14,1,15,1,9,0,8,0,6,0,11,0,6,0,13,0,10,0,8,0,11,0,12,0,9,0,15,0,7,0,15,0,13,0,12,0,5,0,8,0,15,0,17,0,15,0,13,0,12,0,11,0,13,0,13,0,8,0,13,0,10,0,10,0,12,0,6,0,6,0,14,0,8,0,5,0,15,0,14,0,13,0,9,0,9,0,12,0,9,0,10,0,14,0,13,1,12,0,18,0,13,0,6,0,13,0,8,0,8,0,6,0,9,0,12,0,9,0,11,0,10,0,6,0,9,0,9,0,7
20.0,num_simulations=100,0,16,0,20,0,20,0,16,0,20,0,16,0,18,0,26,0,12,0,26,0,27,0,20,0,24,0,20,0,21,0,20,0,19,0,18,0,27,0,28,1,30,0,18,0,23,1,26,0,26,0,28,0,22,0,16,0,17,0,20,0,27,0,20,1,18,0,25,0,24,0,18,0,20,1,19,0,14,0,23,0,20,0,33,0,29,0,21,1,23,0,26,3,31,0,23,0,26,0,26,1,22,0,36,0,22,0,15,1,21,1,20,0,20,0,19,0,21,0,19,0,13,0,21,0,18,0,23,0,25,0,30,2,17,0,11,0,21,0,20,1,33,0,23,0,14,0,25,1,18,0,24,0,25,0,29,0,21,0,20,0,21,0,20,1,27,0,21,0,19,0,14,0,38,0,18,0,17,0,21,0,15,0,14,0,13,0,16,1,19,0,24,0,12,0,21,0,22,0,27
30.0,scale=1.0,0,34,0,42,0,36,0,30,0,31,0,38,0,36,0,47,0,36,0,30,0,32,0,31,1,49,1,28,1,42,0,28,0,36,0,25,0,33,0,35,0,28,0,26,0,40,1,33,0,43,0,40,0,34,0,21,0,39,0,27,1,26,2,29,0,47,0,27,0,35,0,34,0,47,0,39,0,30,1,36,0,35,0,25,0,39,0,31,0,30,0,49,0,36,0,35,0,41,1,40,0,37,1,33,0,36,0,34,0,32,0,28,0,26,0,36,0,28,0,42,0,27,0,35,0,36,0,35,0,16,0,20,0,29,0,45,1,25,0,36,1,38,0,44,0,34,0,26,0,31,0,26,1,28,0,21,0,38,0,26,0,39,0,29,0,37,0,34,0,26,0,35,1,42,0,37,0,31,0,29,0,34,0,39,1,29,0,37,0,32,0,35,0,29,0,42,1,34,0,31
40.0,cell_count=1000.0,0,54,0,49,0,52,0,53,0,42,0,39,0,46,0,39,0,57,0,24,0,43,0,42,0,33,0,38,0,52,1,48,0,50,0,46,0,44,0,53,0,54,0,43,0,55,0,48,0,61,0,49,0,38,0,46,0,46,1,44,0,47,0,44,0,55,0,43,0,47,1,52,0,38,0,39,1,50,0,60,1,37,1,53,0,62,0,43,0,41,0,49,0,40,0,27,0,38,0,43,1,36,0,39,0,39,0,51,0,36,0,48,0,37,0,45,0,37,0,56,0,62,0,42,0,52,0,52,0,46,0,36,0,50,0,57,1,52,0,52,0,37,0,48,0,44,1,35,0,51,1,41,1,52,0,49,0,42,0,37,0,54,0,46,1,53,1,40,1,52,0,53,0,54,0,42,0,45,1,44,0,53,0,58,0,32,0,43,1,37,0,50,1,47,0,67,0,36,0,36
50.0,muG=0.0,0,48,0,54,0,48,0,57,1,76,1,57,0,65,0,45,0,62,0,64,1,50,0,53,2,62,2,56,0,53,0,56,0,70,0,79,0,47,0,40,0,63,1,55,1,64,0,56,0,39,0,68,0,57,0,47,0,60,0,59,0,46,0,46,3,61,0,60,1,59,2,67,0,58,0,73,0,64,0,52,0,60,1,54,0,43,0,56,0,47,0,60,0,60,0,71,1,52,0,63,1,65,0,65,0,51,0,52,0,58,1,56,1,78,0,68,0,63,0,64,0,67,0,57,1,69,0,51,0,51,0,60,1,55,0,59,0,60,0,48,0,58,0,58,0,59,0,65,0,62,0,58,0,54,0,51,0,65,1,52,0,42,0,50,1,39,2,63,0,60,1,46,0,81,0,56,0,50,0,53,0,69,0,59,0,43,0,43,0,55,2,57,0,68,0,49,0,59,1,54
60.0,sigmaG=1.0,0,75,0,65,1,56,0,64,1,61,1,76,1,64,1,77,0,74,1,86,0,77,0,62,1,92,1,68,0,70,2,76,0,56,0,75,1,60,0,58,0,60,0,56,0,63,0,52,1,59,0,62,0,67,0,57,0,80,1,73,0,75,1,83,1,56,0,56,0,80,1,60,0,62,0,76,0,70,0,66,0,68,1,42,1,73,1,80,0,69,0,72,0,56,1,69,0,64,1,58,1,63,1,75,0,61,0,85,0,72,0,71,0,56,0,54,3,71,1,72,1,61,2,58,0,60,1,73,0,78,0,70,0,69,0,60,0,67,0,67,0,72,0,68,2,86,1,83,0,83,0,56,1,60,0,50,0,65,0,67,0,70,0,69,0,81,0,56,1,63,0,59,0,78,0,62,0,60,0,78,0,52,0,71,0,63,0,73,0,71,0,64,0,57,0,55,0,63,1,57
70.0,muR=12.0,1,75,0,65,1,73,0,80,0,77,0,80,0,75,1,85,0,63,1,87,0,66,1,71,1,87,1,75,0,74,0,78,0,78,1,83,0,74,1,73,0,90,1,86,0,67,1,84,0,67,1,85,1,83,1,92,0,80,0,80,0,99,1,93,0,73,1,89,1,91,0,85,0,88,0,77,1,82,2,88,0,74,1,63,0,66,0,83,1,79,1,81,0,72,0,77,1,75,1,91,0,82,0,83,0,85,0,85,3,72,1,105,0,77,0,80,0,96,1,61,1,83,0,86,2,73,0,75,0,91,0,78,0,67,0,74,0,81,1,96,0,84,1,81,0,80,0,94,0,67,0,85,0,83,0,69,1,81,0,93,0,76,1,74,0,68,3,93,0,92,0,72,1,80,0,80,0,89,1,89,0,87,2,88,1,92,1,77,0,80,0,79,1,77,1,66,0,77,1,72
80.0,sigmaR=1.0,0,73,2,82,1,103,0,92,0,90,0,95,1,99,0,106,0,85,1,86,2,83,1,93,0,84,0,88,1,105,1,97,1,99,0,97,1,80,1,103,0,84,1,78,0,70,0,92,1,86,0,85,0,83,0,86,1,91,1,100,0,101,1,98,0,85,1,97,0,106,0,92,1,83,0,89,2,91,0,104,0,85,0,79,0,96,1,104,0,100,0,93,0,82,0,94,0,87,0,65,0,102,2,85,0,109,1,102,0,110,0,87,1,99,1,86,0,98,0,100,0,70,0,78,0,112,0,80,0,67,1,89,1,80,0,92,1,79,0,96,0,69,0,100,0,91,1,93,0,109,0,88,1,87,0,105,1,82,1,90,0,81,0,75,0,100,0,106,0,91,1,93,0,106,0,83,0,95,0,107,0,81,0,93,1,94,0,95,1,97,1,96,0,105,0,81,0,97,0,91
90.0,gamma=0.45,0,104,1,120,0,97,1,109,2,109,0,105,0,118,1,101,1,105,1,97,1,107,1,97,0,108,1,112,0,92,0,103,0,106,0,94,1,93,1,91,1,132,0,98,0,104,0,90,1,113,0,115,1,100,0,108,1,88,1,112,1,110,1,105,0,108,2,115,0,110,0,84,1,132,0,113,2,93,1,96,0,76,0,119,0,106,0,84,3,105,0,137,0,104,1,128,1,127,0,124,1,108,0,83,2,105,0,104,0,84,0,96,1,108,1,84,2,103,1,124,1,125,0,98,0,104,0,95,1,98,0,116,0,108,0,115,1,116,0,100,1,103,1,122,0,95,0,96,0,111,0,105,1,105,0,103,0,109,0,85,0,79,0,96,0,93,1,108,1,114,1,110,0,107,0,105,0,100,1,116,2,101,0,74,0,102,1,96,0,97,0,103,1,103,0,99,0,100,0,94
100.0,vMax=1000.0,1,137,1,110,2,114,0,135,1,120,0,92,2,101,1,101,0,106,0,123,1,114,0,127,0,117,0,115,1,109,0,126,0,116,0,104,2,131,3,101,0,112,0,98,0,110,0,138,0,128,0,115,1,112,0,115,1,106,2,102,0,121,3,119,0,105,1,106,2,122,0,113,0,110,1,104,1,99,1,133,0,114,0,100,1,101,0,122,0,129,0,111,1,114,0,108,1,123,1,106,2,128,1,100,0,125,0,114,1,125,0,110,1,123,0,112,1,114,0,95,0,110,0,101,0,96,1,102,1,134,2,122,2,106,0,115,0,115,2,115,0,132,0,124,2,103,1,128,1,106,1,121,1,134,0,126,2,112,0,119,0,114,1,128,0,112,0,98,1,131,1,110,0,106,0,112,0,117,2,117,0,107,0,140,2,108,1,119,1,125,2,113,1,116,0,120,1,149,1,120
