GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2,GFP IU run=3,total_interactions run=3,GFP IU run=4,total_interactions run=4,GFP IU run=5,total_interactions run=5,GFP IU run=6,total_interactions run=6,GFP IU run=7,total_interactions run=7,GFP IU run=8,total_interactions run=8,GFP IU run=9,total_interactions run=9
180215,FILLER,5322,1202737,5268,1198744,5296,1200270,5257,1203867,5219,1202736,5231,1194328,5286,1199355,5205,1197907,5154,1202885,5282,1200724
245031,FILLER,6476,1630304,6618,1608028,6470,1608350,6564,1599175,6534,1601037,6547,1603258,6607,1618247,6526,1612178,6526,1605820,6579,1596281
245031,FILLER,6652,1605253,6613,1602342,6620,1603834,6604,1597487,6515,1603307,6586,1600013,6596,1604367,6486,1602480,6493,1606118,6671,1602943
245031,FILLER,6471,1598335,6509,1605105,6577,1611047,6466,1605083,6582,1599759,6541,1603284,6496,1607967,6518,1604440,6549,1605920,6450,1599521
332907,FILLER,8218,2222662,8284,2203999,8243,2230194,8226,2218030,8181,2218995,8228,2220200,8285,2217930,8232,2223512,8349,2216614,8149,2210592
332907,FILLER,8283,2213058,8211,2209247,8266,2219709,8208,2219939,8320,2218443,8232,2219064,8238,2229816,8163,2218046,8204,2223010,8261,2218564
332907,FILLER,8149,2218228,8264,2225426,8174,2222558,8187,2217253,8250,2232057,8229,2205391,8265,2215601,8126,2218537,8268,2211267,8275,2219967
451960,FILLER,10151,3119822,10077,3128538,10063,3132639,10126,3125077,10130,3128368,10145,3124168,10136,3122434,10262,3124497,10042,3127267,10174,3130441
451960,FILLER,10214,3119791,10143,3133636,10181,3125853,10083,3132089,10135,3134070,10122,3134097,10132,3120541,10076,3119612,10135,3139617,10256,3134358
451960,FILLER,10118,3127783,10196,3129647,10158,3118193,10112,3119188,10076,3139889,10089,3127689,10164,3115090,10113,3121337,10125,3128689,10141,3116673
613131,FILLER,12058,4380413,12068,4386338,12026,4383599,11992,4375284,12037,4378998,12093,4388984,12118,4388199,12084,4385043,12125,4372960,12059,4378300
613131,FILLER,12039,4379897,12041,4383252,11846,4393750,12152,4375999,12055,4379459,12134,4382496,12119,4378664,12064,4371368,12159,4379278,12102,4378072
613131,FILLER,11973,4372196,12119,4385766,12025,4393192,12122,4384842,12022,4372672,12097,4384674,12084,4397045,12032,4378156,12010,4386469,11990,4383612
831159,FILLER,13806,6211045,13775,6219392,13883,6223757,13717,6224950,13800,6221267,13820,6222617,13781,6205643,13748,6221941,13809,6217775,13844,6227699
831159,FILLER,13749,6223797,13840,6205921,13853,6211725,13839,6229601,13799,6225602,13859,6221062,13807,6212318,13708,6229546,13805,6222916,13848,6225266
831159,FILLER,13851,6239992,13837,6232296,13852,6218715,13873,6238681,13768,6229087,13842,6235803,13899,6219048,13753,6215744,13788,6211572,13819,6230599
1125885,FILLER,15219,8908604,15247,8897147,15310,8898729,15242,8912140,15243,8882278,15299,8894140,15248,8880318,15238,8877039,15297,8905666,15238,8880179
1125885,FILLER,15208,8892005,15225,8893552,15241,8906751,15301,8894295,15267,8900084,15196,8890028,15195,8876275,15243,8890643,15251,8901470,15263,8880507
1125885,FILLER,15307,8891381,15170,8891325,15232,8884708,15157,8873449,15282,8893468,15239,8902249,15258,8870525,15262,8919225,15254,8889515,15265,8897735
1524000,FILLER,16214,12788981,16187,12786933,16198,12783036,16182,12756336,16184,12770762,16187,12796643,16212,12809630,16182,12767061,16231,12773770,16170,12772989
1524000,FILLER,16219,12813722,16195,12766595,16207,12785606,16131,12789219,16202,12786198,16169,12782279,16205,12771463,16219,12768456,16180,12790348,16155,12783910
1524000,FILLER,16200,12807625,16253,12810152,16203,12783688,16196,12771851,16225,12785695,16173,12751004,16230,12811752,16212,12779063,16216,12802862,16210,12779749
