GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2,GFP IU run=3,total_interactions run=3,GFP IU run=4,total_interactions run=4,GFP IU run=5,total_interactions run=5,GFP IU run=6,total_interactions run=6,GFP IU run=7,total_interactions run=7,GFP IU run=8,total_interactions run=8,GFP IU run=9,total_interactions run=9
180215,FILLER,3286,688355,3346,696780,3339,686052,3277,683560,3229,681331,3308,685233,3303,678719,3319,687976,3329,680073,3258,684737
245031,FILLER,3951,854874,3894,842126,3975,854899,4066,850778,3930,842521,3994,853825,3971,853076,3990,852152,4022,855925,3985,852957
245031,FILLER,3980,854457,4011,849027,3888,842919,3997,864024,4022,851436,3900,845547,3916,854552,3875,853041,3974,842384,3931,850631
245031,FILLER,3893,853132,3928,844619,3863,854414,4005,859811,3978,844239,3805,833075,3962,856926,3964,857497,3953,855149,3961,851047
332907,FILLER,5091,1152364,4960,1131017,4955,1134901,4888,1132739,4991,1134361,5051,1113694,4911,1123222,4932,1137037,5139,1154226,5003,1127140
332907,FILLER,4969,1126885,4959,1141204,5087,1143079,5057,1147579,4997,1129661,5016,1119247,5043,1148227,4926,1115790,4953,1133730,4950,1131585
332907,FILLER,4973,1130501,4926,1130208,5077,1143775,4969,1148409,5073,1127224,4970,1117655,5174,1139435,4934,1119858,4836,1119075,4948,1136112
451960,FILLER,6609,1623122,6648,1639204,6617,1605985,6627,1617140,6762,1624130,6548,1608438,6511,1618752,6576,1617103,6696,1628429,6592,1625400
451960,FILLER,6570,1614013,6745,1621852,6629,1621540,6661,1621852,6545,1604943,6578,1620166,6666,1623777,6603,1620940,6592,1621119,6562,1616601
451960,FILLER,6653,1615457,6678,1616804,6645,1630924,6606,1636740,6673,1631316,6612,1609055,6565,1620649,6610,1606826,6617,1623432,6675,1600868
613131,FILLER,8359,2253543,8333,2272347,8324,2255406,8441,2261246,8253,2259988,8309,2268350,8369,2267683,8288,2266258,8369,2258981,8241,2265015
613131,FILLER,8298,2272439,8297,2278417,8373,2265102,8426,2269773,8316,2249223,8325,2268513,8484,2278145,8281,2251790,8292,2263364,8371,2262860
613131,FILLER,8319,2266173,8258,2249457,8440,2273614,8463,2289684,8309,2246495,8304,2264045,8364,2266542,8370,2258532,8461,2257804,8379,2254992
831159,FILLER,10949,3565098,10972,3600621,10886,3592432,10947,3571378,10891,3577567,10983,3581842,10825,3577685,10967,3574358,10812,3599114,10914,3577694
831159,FILLER,10914,3600389,10974,3578366,10921,3590343,10914,3584763,10961,3613143,10958,3588493,11020,3605697,10962,3542657,10942,3578325,10934,3597452
831159,FILLER,10886,3591981,10934,3570791,10952,3599312,10910,3612168,10919,3600717,10904,3615548,11029,3598708,10924,3617563,10873,3585036,10834,3583251
1125885,FILLER,13523,5867748,13536,5846564,13544,5877585,13565,5868880,13515,5852206,13440,5860436,13559,5863232,13576,5850099,13523,5833115,13430,5871073
1125885,FILLER,13508,5880668,13443,5840323,13451,5826940,13593,5855211,13553,5826291,13526,5849332,13492,5860713,13565,5825648,13499,5854845,13516,5824385
1125885,FILLER,13488,5868178,13464,5857057,13437,5855972,13467,5847418,13473,5860429,13498,5853332,13479,5870977,13527,5900979,13496,5843762,13421,5808560
1524000,FILLER,15473,9771223,15550,9780010,15483,9662144,15513,9780120,15541,9737747,15552,9806218,15490,9815052,15494,9692100,15529,9746947,15464,9762881
1524000,FILLER,15527,9791821,15532,9709681,15493,9755675,15511,9733047,15464,9710658,15505,9777013,15488,9788028,15531,9778634,15469,9684159,15537,9796837
1524000,FILLER,15449,9723081,15528,9802026,15511,9793769,15525,9796245,15504,9710629,15523,9752682,15541,9716143,15529,9726303,15522,9768429,15496,9730145
