GFP genomes,GFP IU,Parameters
163,47,cell_count=1700
163,41,muG=0
163,49,sigmaG=1
225,77,muR=12
225,59,sigmaR=1
225,74,gamma=0.45
309,96,vMax=100
309,98,scale=100
309,104,scheme=regular_polygon
425,119,dist=normal
425,135,vd_mean=230
425,134,FILLER
583,175,FILLER
583,176,FILLER
583,173,FILLER
800,237,FILLER
800,224,FILLER
800,238,FILLER
1096,308,FILLER
1096,292,FILLER
1096,313,FILLER
1501,425,FILLER
1501,442,FILLER
1501,417,FILLER
2053,511,FILLER
2053,521,FILLER
2053,508,FILLER
2807,656,FILLER
2807,632,FILLER
2807,670,FILLER
3834,814,FILLER
3834,831,FILLER
3834,802,FILLER
5233,982,FILLER
5233,997,FILLER
5233,981,FILLER
7137,1164,FILLER
7137,1137,FILLER
7137,1158,FILLER
9726,1304,FILLER
9726,1276,FILLER
9726,1328,FILLER
13244,1453,FILLER
13244,1448,FILLER
13244,1447,FILLER
18021,1552,FILLER
18021,1559,FILLER
18021,1551,FILLER
24503,1612,FILLER
24503,1633,FILLER
24503,1612,FILLER
33290,1667,FILLER
33290,1670,FILLER
33290,1667,FILLER
45196,1684,FILLER
45196,1686,FILLER
45196,1687,FILLER
61313,1695,FILLER
61313,1695,FILLER
61313,1693,FILLER
83115,1698,FILLER
83115,1699,FILLER
83115,1699,FILLER
112588,1700,FILLER
112588,1699,FILLER
112588,1700,FILLER
152400,1700,FILLER
152400,1700,FILLER
152400,1700,FILLER
