GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2,GFP IU run=3,total_interactions run=3,GFP IU run=4,total_interactions run=4,GFP IU run=5,total_interactions run=5,GFP IU run=6,total_interactions run=6,GFP IU run=7,total_interactions run=7,GFP IU run=8,total_interactions run=8,GFP IU run=9,total_interactions run=9
245031,FILLER,4682,1040163,4722,1041184,4702,1041886,4707,1043019,4742,1042190,4838,1040938,4753,1040438,4642,1040974,4763,1042124,4681,1042030
245031,FILLER,4708,1039804,4765,1041110,4793,1042518,4769,1040487,4682,1041667,4794,1039615,4859,1041362,4657,1042481,4690,1041264,4789,1043329
245031,FILLER,4800,1041503,4749,1040978,4694,1041976,4787,1040972,4822,1041173,4650,1042438,4703,1042081,4766,1040449,4711,1041244,4648,1040832
332907,FILLER,6064,1414715,6092,1414155,6121,1412865,5996,1414466,6042,1414505,6053,1416253,6031,1413352,6085,1414407,6033,1416880,6044,1415472
332907,FILLER,5987,1415804,6002,1417403,6083,1413604,6048,1415776,6022,1414791,6083,1414801,5985,1415374,6077,1414291,6118,1416283,5978,1413581
332907,FILLER,6113,1414435,5996,1413729,5932,1414411,6000,1415732,6067,1414530,6062,1414208,6116,1415802,6122,1416316,5927,1415161,6045,1415862
451960,FILLER,7566,1919681,7439,1920186,7497,1919935,7581,1919481,7437,1921051,7408,1919419,7488,1921176,7511,1921362,7518,1923654,7612,1921593
451960,FILLER,7453,1921721,7582,1922213,7353,1920687,7545,1922224,7492,1921230,7424,1918318,7459,1918586,7505,1920854,7538,1921643,7617,1919395
451960,FILLER,7547,1919616,7472,1920918,7475,1919506,7498,1921563,7551,1921062,7598,1921314,7620,1920313,7530,1922900,7514,1919859,7447,1920739
613131,FILLER,9209,2604649,9146,2605859,9294,2603118,9201,2607956,9268,2607884,9132,2608460,9185,2604467,9171,2604823,9270,2605100,9126,2605868
613131,FILLER,9135,2605887,9182,2607722,9194,2605015,9164,2608648,9169,2606226,9164,2604324,9137,2605265,9212,2603380,9258,2604837,9173,2607548
613131,FILLER,9269,2605003,9197,2607643,9111,2605253,8993,2605780,9170,2605732,9069,2604015,9125,2605764,9107,2604597,9150,2607634,9314,2604365
831159,FILLER,10933,3532561,10947,3531009,10983,3533918,10970,3531003,10931,3534062,10963,3533752,11013,3531319,10856,3531131,10915,3530452,10967,3537363
831159,FILLER,10935,3534585,10973,3534254,10946,3531965,10973,3533599,10989,3532916,10961,3530486,10879,3533210,10954,3531097,10866,3534082,10981,3535699
831159,FILLER,10991,3531014,10974,3533358,10947,3532194,10944,3533043,10874,3531737,10910,3532624,10906,3529534,11120,3532096,10913,3531090,10996,3531590
1125885,FILLER,12535,4781100,12677,4783865,12538,4783304,12559,4785966,12548,4786415,12671,4782806,12683,4789213,12550,4785210,12564,4785675,12585,4786589
1125885,FILLER,12530,4783602,12661,4783044,12615,4783724,12587,4783531,12653,4786142,12662,4785225,12630,4788124,12592,4784980,12581,4786186,12640,4784364
1125885,FILLER,12539,4785368,12681,4781428,12619,4784767,12553,4783960,12590,4785940,12659,4788318,12622,4788173,12601,4783864,12554,4787847,12688,4784944
1524000,FILLER,14076,6480296,14062,6483739,14034,6476370,13974,6472730,14173,6477844,14071,6477267,14090,6475075,14127,6479931,14106,6475194,14109,6475936
1524000,FILLER,14039,6476414,14118,6477289,14039,6472707,13941,6478210,14069,6478509,14102,6480529,13990,6475895,14055,6473489,14194,6475921,14153,6479831
1524000,FILLER,14114,6477436,14014,6476598,14083,6478438,14110,6478514,14062,6478023,14057,6474857,14087,6477736,14096,6479650,14072,6472135,14124,6479623
